"","T_MAPCODE","inv_deg","sum_IAT","sumrem_aoi","sum_aoi","sumrem_sa","prop_rem_aoi","prop_inv","D3test","YEAR"
"52","FFh11",1,0.5976,5.3561,12.6216,5.3668,0.99800626071402,0.111351270775881,"LC",2023
"53","FFh3",1,0.4269,63.6869,75.1333,63.6852,1.00002669380013,0.00670328427955004,"LC",2023
"54","FFh4",1,25.0928,203.8002,316.8649,203.6124,1.00092234068259,0.123238073909055,"LC",2023
"55","FFh5",1,8.6623,35.8506,83.9948,35.8028,1.00133509111019,0.241944764096663,"LC",2023
"56","FFh6",1,16.4723,67.1287,279.483,67.108,1.00030845800799,0.245459557727842,"LC",2023
"57","FFh7",1,18.7726,148.229,266.6212,148.176,1.00035768275564,0.126691232048375,"LC",2023
"58","FFh8",1,1.6611,144.4098,186.7527,144.4432,0.99976876723861,0.011500022154037,"LC",2023
"59","FFh9",1,50.0433,241.9892,560.2163,243.7668,0.992707784653201,0.205291696818435,"LC",2023
"60","FFl1",1,86.5813,249.5887,277.3491,257.4524,0.969455712978399,0.336300224818258,"LC",2023
"61","FFl2",1,84.6712,658.728,691.1646,661.6104,0.995643357480475,0.12797743203553,"LC",2023
"62","FFl3",1,85.1737,621.7052,790.8541,622.3644,0.998940813452697,0.136855032196572,"LC",2023
"63","FFq2",1,0.0669,1615.586,1644.3339,1617.4104,0.998872024070081,0.0000413624148824566,"LC",2023
"64","FFq3",1,0.0445,1246.0748,1264.4358,1249.804,0.997016172135791,0.0000356055829554074,"LC",2023
"65","FFq4",1,0.4273,91.305,97.8393,91.3208,0.999826983556867,0.00467910925002847,"LC",2023
"66","FFq5",1,0.1717,385.0748,385.4581,388.316,0.991653189670268,0.000442165658896363,"LC",2023
"67","FFq6",1,0.002,660.556,675.0903,668.574,0.988007311082992,0.00000299144148590881,"LC",2023
"68","FFs1",1,0.0201,796.6461,1010.2063,800.52,0.995160770499176,0.000025108679358417,"LC",2023
"69","FFs10",1,62.7526,1008.5606,1050.6315,1008.654,0.999907401348728,0.0622141983276723,"LC",2023
"70","FFs11",1,35.7641,763.4262,914.217,763.5196,0.999877671771622,0.0468411027038468,"LC",2023
"71","FFs12",1,129.7092,1049.4884,1178.2981,1049.864,0.999642239375767,0.123548573910526,"LC",2023
"72","FFs13",1,11.3379,520.86,531.4922,520.876,0.999969282516376,0.0217669848486012,"LC",2023
"73","FFs14",1,46.2224,333.1973,358.8867,333.1052,1.00027648922923,0.138762168828346,"LC",2023
"74","FFs15",1,19.7952,905.94,993.4318,906.3568,0.999540136952688,0.0218404054562177,"LC",2023
"75","FFs16",1,45.082,1173.34,1215.2912,1173.312,1.00002386407026,0.0384228576883216,"LC",2023
"76","FFs17",1,3.3234,100.1911,107.3183,100.296,0.998954095876207,0.0331359176836564,"LC",2023
"77","FFs18",1,23.2827,732.2133,878.8237,732.3164,0.999859213858928,0.0317932248956872,"LC",2023
"78","FFs19",1,183.5788,1047.2355,1570.4783,1047.7296,0.999528408856636,0.175215819043387,"LC",2023
"79","FFs2",1,1.6779,936.3689,1341.2029,937.778,0.998497405569335,0.00178922943383189,"LC",2023
"80","FFs20",1,303.2709,1566.6636,2297.5078,1567.7116,0.999331509698595,0.193448144416358,"LC",2023
"81","FFs21",1,0.698,318.0257,318.328,318.0388,0.999958810057138,0.00219470077235859,"LC",2023
"82","FFs22",1,1.1158,385.3785,388.3062,385.3768,1.0000044112671,0.00289534813719975,"LC",2023
"83","FFs23",1,0.3055,846.0636,852.1944,846.108,0.999947524429506,0.000361065017704596,"LC",2023
"84","FFs24",1,1.8612,1082.283,1084.7924,1082.2572,1.00002383906524,0.00171973907865894,"LC",2023
"85","FFs25",1,0.8384,330.9225,332.5837,330.9052,1.00005228083451,0.00253365616496809,"LC",2023
"86","FFs26",1,5.512,287.1451,304.1814,287.084,1.00021282969444,0.0191999554137465,"LC",2023
"87","FFs27",1,20.8034,2155.7531,2402.6004,2155.9756,0.999896798460984,0.00964918155845548,"LC",2023
