"","nlc2022_7class","T_MAPCODE","n"
"1106","8","FFh9",334713
"1107","NaN","FFh9",0
"1108","1","FFl1",352532
"1109","2","FFl1",24611
"1110","3","FFl1",158
"1111","4","FFl1",20955
"1112","5","FFl1",27898
"1113","6","FFl1",63
"1114","7","FFl1",81
"1115","8","FFl1",291099
"1116","NaN","FFl1",0
"1117","1","FFl2",1288810
"1118","2","FFl2",30116
"1119","3","FFl2",452
"1120","4","FFl2",10177
"1121","5","FFl2",38058
"1122","6","FFl2",2579
"1123","7","FFl2",234
"1124","8","FFl2",365216
"1125","NaN","FFl2",0
"1126","1","FFl3",1313065
"1127","2","FFl3",89655
"1128","3","FFl3",6
"1129","4","FFl3",6414
"1130","5","FFl3",325362
"1131","6","FFl3",348
"1132","7","FFl3",1488
"1133","8","FFl3",242846
"1134","NaN","FFl3",0
"1135","1","FFq1",122560
"1136","2","FFq1",0
"1137","3","FFq1",0
"1138","4","FFq1",0
"1139","5","FFq1",0
"1140","6","FFq1",0
"1141","7","FFq1",0
"1142","8","FFq1",0
"1143","NaN","FFq1",0
"1144","1","FFq2",4041997
"1145","2","FFq2",42566
"1146","3","FFq2",1239
"1147","4","FFq2",2010
"1148","5","FFq2",26073
"1149","6","FFq2",54
"1150","7","FFq2",0
"1151","8","FFq2",1529
"1152","NaN","FFq2",0
"1153","1","FFq3",3123332
"1154","2","FFq3",31273
"1155","3","FFq3",519
"1156","4","FFq3",1425
"1157","5","FFq3",12013
"1158","6","FFq3",412
"1159","7","FFq3",61
"1160","8","FFq3",1178
"1161","NaN","FFq3",0
"1162","1","FFq4",226009
"1163","2","FFq4",5790
"1164","3","FFq4",747
"1165","4","FFq4",1993
"1166","5","FFq4",7433
"1167","6","FFq4",350
"1168","7","FFq4",25
"1169","8","FFq4",2293
"1170","NaN","FFq4",0
"1171","1","FFq5",968853
"1172","2","FFq5",916
"1173","3","FFq5",78
"1174","4","FFq5",210
"1175","5","FFq5",33
"1176","6","FFq5",0
"1177","7","FFq5",0
"1178","8","FFq5",1937
"1179","NaN","FFq5",0
"1180","1","FFq6",1473512
"1181","2","FFq6",17545
"1182","3","FFq6",231
"1183","4","FFq6",2174
"1184","5","FFq6",9496
"1185","6","FFq6",158
"1186","7","FFq6",7155
"1187","8","FFq6",197923
"1188","NaN","FFq6",0
"1189","1","FFs1",1974252
"1190","2","FFs1",158004
"1191","3","FFs1",563
"1192","4","FFs1",3144
"1193","5","FFs1",369174
"1194","6","FFs1",6
"1195","7","FFs1",3188
"1196","8","FFs1",27048
"1197","NaN","FFs1",0
"1198","1","FFs10",2267314
"1199","2","FFs10",46275
"1200","3","FFs10",4984
"1201","4","FFs10",6250
"1202","5","FFs10",21307
"1203","6","FFs10",169
"1204","7","FFs10",25936
"1205","8","FFs10",254321
"1206","NaN","FFs10",0
"1207","1","FFs11",1791779
"1208","2","FFs11",184806
"1209","3","FFs11",17305
"1210","4","FFs11",26097
"1211","5","FFs11",55204
"1212","6","FFs11",616
"1213","7","FFs11",92760
"1214","8","FFs11",117020
"1215","NaN","FFs11",0
"1216","1","FFs12",2220968
"1217","2","FFs12",167639
"1218","3","FFs12",1035
"1219","4","FFs12",28501
"1220","5","FFs12",115897
"1221","6","FFs12",954
"1222","7","FFs12",9834
"1223","8","FFs12",403692
"1224","NaN","FFs12",0
"1225","1","FFs13",1270970
"1226","2","FFs13",11468
"1227","3","FFs13",241
"1228","4","FFs13",561
"1229","5","FFs13",14048
"1230","6","FFs13",231
"1231","7","FFs13",21
"1232","8","FFs13",31220
"1233","NaN","FFs13",0
"1234","1","FFs14",703057
"1235","2","FFs14",18510
"1236","3","FFs14",825
"1237","4","FFs14",1099
"1238","5","FFs14",24345
"1239","6","FFs14",603
"1240","7","FFs14",19062
"1241","8","FFs14",129706
"1242","NaN","FFs14",0
"1243","1","FFs15",2174235
"1244","2","FFs15",90284
"1245","3","FFs15",1530
"1246","4","FFs15",9126
"1247","5","FFs15",112719
"1248","6","FFs15",576
"1249","7","FFs15",3817
"1250","8","FFs15",91657
"1251","NaN","FFs15",0
"1252","1","FFs16",2561597
"1253","2","FFs16",37104
"1254","3","FFs16",392
"1255","4","FFs16",2126
"1256","5","FFs16",17068
"1257","6","FFs16",38
"1258","7","FFs16",48299
"1259","8","FFs16",371683
"1260","NaN","FFs16",0
"1261","1","FFs17",227773
"1262","2","FFs17",9061
"1263","3","FFs17",121
"1264","4","FFs17",1059
"1265","5","FFs17",5635
"1266","6","FFs17",199
"1267","7","FFs17",1802
"1268","8","FFs17",22967
"1269","NaN","FFs17",0
"1270","1","FFs18",1691848
"1271","2","FFs18",142857
"1272","3","FFs18",1594
"1273","4","FFs18",4013
"1274","5","FFs18",201507
"1275","6","FFs18",35
"1276","7","FFs18",16216
"1277","8","FFs18",138943
"1278","NaN","FFs18",0
"1279","1","FFs19",1695902
"1280","2","FFs19",312912
"1281","3","FFs19",1755
"1282","4","FFs19",39402
"1283","5","FFs19",187289
"1284","6","FFs19",582
"1285","7","FFs19",766397
"1286","8","FFs19",923422
"1287","NaN","FFs19",0
"1288","1","FFs2",2297664
"1289","2","FFs2",248723
"1290","3","FFs2",3948
"1291","4","FFs2",15928
"1292","5","FFs2",740561
"1293","6","FFs2",448
"1294","7","FFs2",3814
"1295","8","FFs2",46781
"1296","NaN","FFs2",0
"1297","1","FFs20",2559809
"1298","2","FFs20",301847
"1299","3","FFs20",17530
"1300","4","FFs20",60060
"1301","5","FFs20",985406
"1302","6","FFs20",132
"1303","7","FFs20",461993
"1304","8","FFs20",1359470
"1305","NaN","FFs20",0
"1306","1","FFs21",791758
"1307","2","FFs21",362
"1308","3","FFs21",72
"1309","4","FFs21",62
"1310","5","FFs21",256
"1311","6","FFs21",0
"1312","7","FFs21",0
"1313","8","FFs21",3339
"1314","NaN","FFs21",0
"1315","1","FFs22",955846
"1316","2","FFs22",6288
"1317","3","FFs22",10
"1318","4","FFs22",166
"1319","5","FFs22",890
"1320","6","FFs22",0
"1321","7","FFs22",18
"1322","8","FFs22",7596
"1323","NaN","FFs22",0
"1324","1","FFs23",2112775
"1325","2","FFs23",9313
"1326","3","FFs23",415
"1327","4","FFs23",906
"1328","5","FFs23",4567
"1329","6","FFs23",10
"1330","7","FFs23",0
"1331","8","FFs23",2495
"1332","NaN","FFs23",0
"1333","1","FFs24",2686194
"1334","2","FFs24",2963
"1335","3","FFs24",575
"1336","4","FFs24",1049
"1337","5","FFs24",1571
"1338","6","FFs24",14
"1339","7","FFs24",156
"1340","8","FFs24",19449
"1341","NaN","FFs24",0
"1342","1","FFs25",824498
"1343","2","FFs25",3756
"1344","3","FFs25",67
"1345","4","FFs25",152
"1346","5","FFs25",183
"1347","6","FFs25",0
"1348","7","FFs25",0
"1349","8","FFs25",2765
"1350","NaN","FFs25",0
"1351","1","FFs26",697337
"1352","2","FFs26",14579
"1353","3","FFs26",132
"1354","4","FFs26",429
"1355","5","FFs26",27312
"1356","6","FFs26",0
"1357","7","FFs26",299
"1358","8","FFs26",20373
"1359","NaN","FFs26",0
"1360","1","FFs27",5095636
"1361","2","FFs27",187113
"1362","3","FFs27",649
"1363","4","FFs27",6090
"1364","5","FFs27",175205
"1365","6","FFs27",155
"1366","7","FFs27",248202
"1367","8","FFs27",294303
"1368","NaN","FFs27",0
"1369","1","FFs28",8600384
"1370","2","FFs28",310505
"1371","3","FFs28",3840
"1372","4","FFs28",61730
"1373","5","FFs28",465344
"1374","6","FFs28",395
"1375","7","FFs28",47377
"1376","8","FFs28",640875
"1377","NaN","FFs28",0
"1378","1","FFs29",217747
"1379","2","FFs29",78811
"1380","3","FFs29",362
"1381","4","FFs29",320937
"1382","5","FFs29",91834
"1383","6","FFs29",1381
"1384","7","FFs29",12963
"1385","8","FFs29",111456
"1386","NaN","FFs29",0
"1387","1","FFs3",1130965
"1388","2","FFs3",39751
"1389","3","FFs3",192
"1390","4","FFs3",1340
"1391","5","FFs3",29899
"1392","6","FFs3",0
"1393","7","FFs3",1057
"1394","8","FFs3",42392
"1395","NaN","FFs3",0
"1396","1","FFs30",93697
"1397","2","FFs30",26
"1398","3","FFs30",13
"1399","4","FFs30",73
"1400","5","FFs30",0
"1401","6","FFs30",0
"1402","7","FFs30",0
"1403","8","FFs30",4
"1404","NaN","FFs30",0
"1405","1","FFs31",126961
"1406","2","FFs31",99
"1407","3","FFs31",1
"1408","4","FFs31",12
"1409","5","FFs31",0
"1410","6","FFs31",0
"1411","7","FFs31",0
"1412","8","FFs31",14
"1413","NaN","FFs31",0
"1414","1","FFs32",883762
"1415","2","FFs32",126416
"1416","3","FFs32",75
"1417","4","FFs32",946
"1418","5","FFs32",356636
"1419","6","FFs32",0
"1420","7","FFs32",17
"1421","8","FFs32",2020
"1422","NaN","FFs32",0
"1423","1","FFs4",5527907
"1424","2","FFs4",246376
"1425","3","FFs4",7116
"1426","4","FFs4",10297
"1427","5","FFs4",454608
"1428","6","FFs4",292
"1429","7","FFs4",8514
"1430","8","FFs4",53990
"1431","NaN","FFs4",0
"1432","1","FFs5",2586092
"1433","2","FFs5",102964
"1434","3","FFs5",11900
"1435","4","FFs5",4923
"1436","5","FFs5",85535
"1437","6","FFs5",253
"1438","7","FFs5",6746
"1439","8","FFs5",41552
"1440","NaN","FFs5",0
"1441","1","FFs6",868964
"1442","2","FFs6",45209
"1443","3","FFs6",1515
"1444","4","FFs6",5793
"1445","5","FFs6",74384
"1446","6","FFs6",402
"1447","7","FFs6",3123
"1448","8","FFs6",57801
"1449","NaN","FFs6",0
"1450","1","FFs7",917358
"1451","2","FFs7",13388
"1452","3","FFs7",4688
"1453","4","FFs7",1247
"1454","5","FFs7",36998
"1455","6","FFs7",40
"1456","7","FFs7",1110
"1457","8","FFs7",10349
"1458","NaN","FFs7",0
"1459","1","FFs8",771159
"1460","2","FFs8",3256
"1461","3","FFs8",503
"1462","4","FFs8",1092
"1463","5","FFs8",4932
"1464","6","FFs8",56
"1465","7","FFs8",193
"1466","8","FFs8",18175
"1467","NaN","FFs8",0
"1468","1","FFs9",453389
"1469","2","FFs9",13379
"1470","3","FFs9",869
"1471","4","FFs9",18499
"1472","5","FFs9",374
"1473","6","FFs9",23
"1474","7","FFs9",7282
"1475","8","FFs9",54801
"1476","NaN","FFs9",0
"1477","1","FFt1",963953
"1478","2","FFt1",9070
"1479","3","FFt1",241
"1480","4","FFt1",522
"1481","5","FFt1",13131
"1482","6","FFt1",4
"1483","7","FFt1",64
"1484","8","FFt1",25401
"1485","NaN","FFt1",0
"1486","1","FFt2",366917
"1487","2","FFt2",20753
"1488","3","FFt2",95
"1489","4","FFt2",5709
"1490","5","FFt2",47285
"1491","6","FFt2",58
"1492","7","FFt2",79
"1493","8","FFt2",87010
"1494","NaN","FFt2",0
"1495","1","FOa1",332670
"1496","2","FOa1",26344
"1497","3","FOa1",1573
"1498","4","FOa1",550
"1499","5","FOa1",79364
"1500","6","FOa1",0
"1501","7","FOa1",20
"1502","8","FOa1",872
"1503","NaN","FOa1",0
"1504","1","FOa2",181917
"1505","2","FOa2",52322
"1506","3","FOa2",192
"1507","4","FOa2",3478
"1508","5","FOa2",11009
"1509","6","FOa2",36
"1510","7","FOa2",2045
"1511","8","FOa2",256
"1512","NaN","FOa2",0
"1513","1","FOa3",51356
"1514","2","FOa3",3208
"1515","3","FOa3",308
"1516","4","FOa3",4502
"1517","5","FOa3",66
"1518","6","FOa3",67
"1519","7","FOa3",3
"1520","8","FOa3",39
"1521","NaN","FOa3",0
"1522","1","FOz1",1482980
"1523","2","FOz1",337820
"1524","3","FOz1",202
"1525","4","FOz1",2879
"1526","5","FOz1",30674
"1527","6","FOz1",2
"1528","7","FOz1",18100
"1529","8","FOz1",97550
"1530","NaN","FOz1",0
"1531","1","FOz2",441034
"1532","2","FOz2",71817
"1533","3","FOz2",25
"1534","4","FOz2",324
"1535","5","FOz2",115
"1536","6","FOz2",1
"1537","7","FOz2",6849
"1538","8","FOz2",15018
"1539","NaN","FOz2",0
"1540","1","FOz3",2097153
"1541","2","FOz3",425969
"1542","3","FOz3",84
"1543","4","FOz3",1423
"1544","5","FOz3",1131
"1545","6","FOz3",2
"1546","7","FOz3",16200
"1547","8","FOz3",113725
"1548","NaN","FOz3",0
"1549","1","FOz4",689292
"1550","2","FOz4",233847
"1551","3","FOz4",35
"1552","4","FOz4",54
"1553","5","FOz4",1122
"1554","6","FOz4",0
"1555","7","FOz4",16062
"1556","8","FOz4",32984
"1557","NaN","FOz4",0
"1558","1","FOz5",2325699
"1559","2","FOz5",163844
"1560","3","FOz5",337
"1561","4","FOz5",5696
"1562","5","FOz5",33756
"1563","6","FOz5",334
"1564","7","FOz5",4262
"1565","8","FOz5",39767
"1566","NaN","FOz5",58
"1567","1","FOz6",368549
"1568","2","FOz6",32643
"1569","3","FOz6",0
"1570","4","FOz6",463
"1571","5","FOz6",52629
"1572","6","FOz6",0
"1573","7","FOz6",29
"1574","8","FOz6",8773
"1575","NaN","FOz6",0
"1576","1","FOz7",1284646
"1577","2","FOz7",309275
"1578","3","FOz7",2029
"1579","4","FOz7",52471
"1580","5","FOz7",17851
"1581","6","FOz7",21381
"1582","7","FOz7",10586
"1583","8","FOz7",2725
"1584","NaN","FOz7",173
"1585","1","FOz8",610568
"1586","2","FOz8",40308
"1587","3","FOz8",469
"1588","4","FOz8",5907
"1589","5","FOz8",6324
"1590","6","FOz8",0
"1591","7","FOz8",107
"1592","8","FOz8",45
"1593","NaN","FOz8",0
"1594","1","FOz9",199296
"1595","2","FOz9",288
"1596","3","FOz9",5
"1597","4","FOz9",1
"1598","5","FOz9",667
"1599","6","FOz9",0
"1600","7","FOz9",0
"1601","8","FOz9",3855
"1602","NaN","FOz9",0
"1603","1","FRa1",374551
"1604","2","FRa1",203809
"1605","3","FRa1",19949
"1606","4","FRa1",74297
"1607","5","FRa1",506320
"1608","6","FRa1",630
"1609","7","FRa1",3168
"1610","8","FRa1",61466
"1611","NaN","FRa1",0
"1612","1","FRa2",80248
"1613","2","FRa2",17234
"1614","3","FRa2",167
"1615","4","FRa2",3852
"1616","5","FRa2",44767
"1617","6","FRa2",0
"1618","7","FRa2",327
"1619","8","FRa2",11085
"1620","NaN","FRa2",0
"1621","1","FRc1",27744
"1622","2","FRc1",32116
"1623","3","FRc1",665
"1624","4","FRc1",5989
"1625","5","FRc1",179756
"1626","6","FRc1",535
"1627","7","FRc1",1588
"1628","8","FRc1",4261
"1629","NaN","FRc1",0
"1630","1","FRc2",63044
"1631","2","FRc2",55568
"1632","3","FRc2",441
"1633","4","FRc2",6185
"1634","5","FRc2",386193
"1635","6","FRc2",932
"1636","7","FRc2",3836
"1637","8","FRc2",8191
"1638","NaN","FRc2",0
"1639","1","FRd1",465639
"1640","2","FRd1",26960
"1641","3","FRd1",1643
"1642","4","FRd1",903
"1643","5","FRd1",25548
"1644","6","FRd1",46
"1645","7","FRd1",542
"1646","8","FRd1",27455
"1647","NaN","FRd1",0
"1648","1","FRd2",1412626
"1649","2","FRd2",18304
"1650","3","FRd2",690
"1651","4","FRd2",667
"1652","5","FRd2",14326
"1653","6","FRd2",14
"1654","7","FRd2",0
"1655","8","FRd2",688
"1656","NaN","FRd2",0
"1657","1","FRg1",631674
"1658","2","FRg1",46666
"1659","3","FRg1",106
"1660","4","FRg1",1529
"1661","5","FRg1",83543
"1662","6","FRg1",35
"1663","7","FRg1",0
"1664","8","FRg1",296
"1665","NaN","FRg1",0
"1666","1","FRg2",289544
"1667","2","FRg2",337861
"1668","3","FRg2",12465
"1669","4","FRg2",125415
"1670","5","FRg2",1491434
"1671","6","FRg2",2112
"1672","7","FRg2",24356
"1673","8","FRg2",95165
"1674","NaN","FRg2",0
"1675","1","FRg3",39995
"1676","2","FRg3",516
"1677","3","FRg3",0
"1678","4","FRg3",17
"1679","5","FRg3",316
"1680","6","FRg3",0
"1681","7","FRg3",7
"1682","8","FRg3",7088
"1683","NaN","FRg3",0
"1684","1","FRl1",1031646
"1685","2","FRl1",69577
"1686","3","FRl1",3585
"1687","4","FRl1",4948
"1688","5","FRl1",93840
"1689","6","FRl1",42
"1690","7","FRl1",527
"1691","8","FRl1",50057
"1692","NaN","FRl1",0
"1693","1","FRs1",475550
"1694","2","FRs1",17077
"1695","3","FRs1",109
"1696","4","FRs1",283
"1697","5","FRs1",10354
"1698","6","FRs1",0
"1699","7","FRs1",326
"1700","8","FRs1",14566
"1701","NaN","FRs1",0
"1702","1","FRs10",4933
"1703","2","FRs10",5842
"1704","3","FRs10",109
"1705","4","FRs10",49784
"1706","5","FRs10",0
"1707","6","FRs10",0
"1708","7","FRs10",1166
"1709","8","FRs10",1350
"1710","NaN","FRs10",0
"1711","1","FRs11",293673
"1712","2","FRs11",243516
"1713","3","FRs11",60372
"1714","4","FRs11",35803
"1715","5","FRs11",2246773
"1716","6","FRs11",375
"1717","7","FRs11",14714
"1718","8","FRs11",88950
"1719","NaN","FRs11",0
"1720","1","FRs12",405530
"1721","2","FRs12",323265
"1722","3","FRs12",4116
"1723","4","FRs12",39934
"1724","5","FRs12",4199972
"1725","6","FRs12",557
"1726","7","FRs12",11658
"1727","8","FRs12",83733
"1728","NaN","FRs12",0
"1729","1","FRs13",836708
"1730","2","FRs13",595705
"1731","3","FRs13",3247
"1732","4","FRs13",45540
"1733","5","FRs13",5253002
"1734","6","FRs13",3333
"1735","7","FRs13",11184
"1736","8","FRs13",157706
"1737","NaN","FRs13",0
"1738","1","FRs14",597625
"1739","2","FRs14",234792
"1740","3","FRs14",1419
"1741","4","FRs14",21158
"1742","5","FRs14",1089143
"1743","6","FRs14",2319
"1744","7","FRs14",1133
"1745","8","FRs14",218738
"1746","NaN","FRs14",0
"1747","1","FRs15",657626
"1748","2","FRs15",15763
"1749","3","FRs15",544
"1750","4","FRs15",1635
"1751","5","FRs15",12059
"1752","6","FRs15",0
"1753","7","FRs15",415
"1754","8","FRs15",2984
"1755","NaN","FRs15",0
"1756","1","FRs16",2740004
"1757","2","FRs16",165866
"1758","3","FRs16",3355
"1759","4","FRs16",13955
"1760","5","FRs16",425836
"1761","6","FRs16",269
"1762","7","FRs16",88
"1763","8","FRs16",20288
"1764","NaN","FRs16",0
"1765","1","FRs17",115050
"1766","2","FRs17",68885
"1767","3","FRs17",6047
"1768","4","FRs17",17525
"1769","5","FRs17",256198
"1770","6","FRs17",131
"1771","7","FRs17",8638
"1772","8","FRs17",45372
"1773","NaN","FRs17",0
"1774","1","FRs18",296099
"1775","2","FRs18",44
"1776","3","FRs18",1
"1777","4","FRs18",4
"1778","5","FRs18",66
"1779","6","FRs18",0
"1780","7","FRs18",0
"1781","8","FRs18",592
"1782","NaN","FRs18",0
"1783","1","FRs19",292380
"1784","2","FRs19",85499
"1785","3","FRs19",5710
"1786","4","FRs19",29402
"1787","5","FRs19",420640
"1788","6","FRs19",1888
"1789","7","FRs19",9
"1790","8","FRs19",97347
"1791","NaN","FRs19",0
"1792","1","FRs2",258834
"1793","2","FRs2",87980
"1794","3","FRs2",133
"1795","4","FRs2",4681
"1796","5","FRs2",192372
"1797","6","FRs2",65
"1798","7","FRs2",1015
"1799","8","FRs2",2012
"1800","NaN","FRs2",0
"1801","1","FRs20",26128
"1802","2","FRs20",17497
"1803","3","FRs20",3402
"1804","4","FRs20",8844
"1805","5","FRs20",58156
"1806","6","FRs20",29
"1807","7","FRs20",957
"1808","8","FRs20",2465
"1809","NaN","FRs20",0
"1810","1","FRs3",7868511
"1811","2","FRs3",88511
"1812","3","FRs3",8459
"1813","4","FRs3",6177
"1814","5","FRs3",68907
"1815","6","FRs3",570
"1816","7","FRs3",390
"1817","8","FRs3",2155
"1818","NaN","FRs3",0
"1819","1","FRs4",510171
"1820","2","FRs4",209960
"1821","3","FRs4",19073
"1822","4","FRs4",29977
"1823","5","FRs4",440398
"1824","6","FRs4",78
"1825","7","FRs4",1442
"1826","8","FRs4",18275
"1827","NaN","FRs4",0
"1828","1","FRs5",2996337
"1829","2","FRs5",81969
"1830","3","FRs5",1484
"1831","4","FRs5",2891
"1832","5","FRs5",6669
"1833","6","FRs5",267
"1834","7","FRs5",160
"1835","8","FRs5",1507
"1836","NaN","FRs5",0
"1837","1","FRs6",4517419
"1838","2","FRs6",396550
"1839","3","FRs6",7872
"1840","4","FRs6",19042
"1841","5","FRs6",288899
"1842","6","FRs6",1619
"1843","7","FRs6",662
"1844","8","FRs6",7551
"1845","NaN","FRs6",0
"1846","1","FRs7",3192501
"1847","2","FRs7",357751
"1848","3","FRs7",10842
"1849","4","FRs7",31666
"1850","5","FRs7",377489
"1851","6","FRs7",346
"1852","7","FRs7",7877
"1853","8","FRs7",41151
"1854","NaN","FRs7",0
"1855","1","FRs8",1466495
"1856","2","FRs8",371476
"1857","3","FRs8",15620
"1858","4","FRs8",41450
"1859","5","FRs8",613205
"1860","6","FRs8",3827
"1861","7","FRs8",37617
"1862","8","FRs8",74708
"1863","NaN","FRs8",0
"1864","1","FRs9",997430
"1865","2","FRs9",1035215
"1866","3","FRs9",40784
"1867","4","FRs9",324282
"1868","5","FRs9",9712265
"1869","6","FRs9",26413
"1870","7","FRs9",54833
"1871","8","FRs9",218164
"1872","NaN","FRs9",0
"1873","1","FS1",584947
"1874","2","FS1",143185
"1875","3","FS1",72
"1876","4","FS1",16574
"1877","5","FS1",134339
"1878","6","FS1",1753
"1879","7","FS1",291
"1880","8","FS1",4533
"1881","NaN","FS1",0
"1882","1","FS10",473915
"1883","2","FS10",5626
"1884","3","FS10",42
"1885","4","FS10",37158
"1886","5","FS10",262
"1887","6","FS10",226
"1888","7","FS10",21
"1889","8","FS10",289940
"1890","NaN","FS10",0
"1891","1","FS11",56836
"1892","2","FS11",79
"1893","3","FS11",0
"1894","4","FS11",295
"1895","5","FS11",7
"1896","6","FS11",0
"1897","7","FS11",0
"1898","8","FS11",41784
"1899","NaN","FS11",0
"1900","1","FS12",172962
"1901","2","FS12",9778
"1902","3","FS12",40
"1903","4","FS12",59469
"1904","5","FS12",0
"1905","6","FS12",452
"1906","7","FS12",393
"1907","8","FS12",54554
"1908","NaN","FS12",0
"1909","1","FS13",73765
"1910","2","FS13",1222
"1911","3","FS13",3
"1912","4","FS13",12223
"1913","5","FS13",2
"1914","6","FS13",0
"1915","7","FS13",2799
"1916","8","FS13",14096
"1917","NaN","FS13",0
"1918","1","FS14",111228
"1919","2","FS14",1750
"1920","3","FS14",162
"1921","4","FS14",26623
"1922","5","FS14",1393
"1923","6","FS14",54
"1924","7","FS14",0
"1925","8","FS14",101103
"1926","NaN","FS14",0
"1927","1","FS2",189961
"1928","2","FS2",79327
"1929","3","FS2",51
"1930","4","FS2",59355
"1931","5","FS2",404428
"1932","6","FS2",7359
"1933","7","FS2",780
"1934","8","FS2",5800
"1935","NaN","FS2",0
"1936","1","FS3",1399544
"1937","2","FS3",779829
"1938","3","FS3",1874
"1939","4","FS3",72291
"1940","5","FS3",1772749
"1941","6","FS3",23241
"1942","7","FS3",6406
"1943","8","FS3",52578
"1944","NaN","FS3",0
"1945","1","FS4",121785
"1946","2","FS4",18158
"1947","3","FS4",0
"1948","4","FS4",4379
"1949","5","FS4",6987
"1950","6","FS4",561
"1951","7","FS4",1
"1952","8","FS4",2039
"1953","NaN","FS4",0
"1954","1","FS5",645609
"1955","2","FS5",52265
"1956","3","FS5",1687
"1957","4","FS5",47610
"1958","5","FS5",22849
"1959","6","FS5",3787
"1960","7","FS5",211
"1961","8","FS5",86893
"1962","NaN","FS5",0
"1963","1","FS6",275468
"1964","2","FS6",32294
"1965","3","FS6",4491
"1966","4","FS6",467689
"1967","5","FS6",20423
"1968","6","FS6",12135
"1969","7","FS6",2394
"1970","8","FS6",182413
"1971","NaN","FS6",0
"1972","1","FS7",56094
"1973","2","FS7",3464
"1974","3","FS7",63
"1975","4","FS7",10810
"1976","5","FS7",8998
"1977","6","FS7",0
"1978","7","FS7",0
"1979","8","FS7",37643
"1980","NaN","FS7",0
"1981","1","FS9",11865
"1982","2","FS9",11502
"1983","3","FS9",83
"1984","4","FS9",6348
"1985","5","FS9",18919
"1986","6","FS9",0
"1987","7","FS9",2222
"1988","8","FS9",19036
"1989","NaN","FS9",0
"1990","1","Gd1",9866609
"1991","2","Gd1",501857
"1992","3","Gd1",42133
"1993","4","Gd1",153660
"1994","5","Gd1",551325
"1995","6","Gd1",812
"1996","7","Gd1",810261
"1997","8","Gd1",640710
"1998","NaN","Gd1",0
"1999","1","Gd10",6883203
"2000","2","Gd10",672
"2001","3","Gd10",7614
"2002","4","Gd10",1532
"2003","5","Gd10",183942
"2004","6","Gd10",0
"2005","7","Gd10",0
"2006","8","Gd10",7
"2007","NaN","Gd10",0
"2008","1","Gd2",377688
"2009","2","Gd2",2491
"2010","3","Gd2",126
"2011","4","Gd2",195
"2012","5","Gd2",2386
"2013","6","Gd2",16
"2014","7","Gd2",6630
"2015","8","Gd2",6277
"2016","NaN","Gd2",0
"2017","1","Gd3",6008571
"2018","2","Gd3",443909
"2019","3","Gd3",43435
"2020","4","Gd3",38140
"2021","5","Gd3",860402
"2022","6","Gd3",1831
"2023","7","Gd3",4581
"2024","8","Gd3",14584
"2025","NaN","Gd3",0
"2026","1","Gd4",14697010
"2027","2","Gd4",356273
"2028","3","Gd4",10180
"2029","4","Gd4",155828
"2030","5","Gd4",871757
"2031","6","Gd4",1011
"2032","7","Gd4",237869
"2033","8","Gd4",287637
"2034","NaN","Gd4",0
"2035","1","Gd5",2757167
"2036","2","Gd5",77613
"2037","3","Gd5",9167
"2038","4","Gd5",120578
"2039","5","Gd5",85004
"2040","6","Gd5",250
"2041","7","Gd5",10961
"2042","8","Gd5",33065
"2043","NaN","Gd5",0
"2044","1","Gd6",52820
"2045","2","Gd6",54
"2046","3","Gd6",1
"2047","4","Gd6",1
"2048","5","Gd6",117
"2049","6","Gd6",0
"2050","7","Gd6",1
"2051","8","Gd6",1049
"2052","NaN","Gd6",0
"2053","1","Gd7",3360328
"2054","2","Gd7",1121
"2055","3","Gd7",629
"2056","4","Gd7",305
"2057","5","Gd7",370
"2058","6","Gd7",0
"2059","7","Gd7",136
"2060","8","Gd7",4477
"2061","NaN","Gd7",0
"2062","1","Gd8",43214760
"2063","2","Gd8",60631
"2064","3","Gd8",116973
"2065","4","Gd8",11569
"2066","5","Gd8",7003988
"2067","6","Gd8",242
"2068","7","Gd8",1402
"2069","8","Gd8",13656
"2070","NaN","Gd8",0
"2071","1","Gd9",4639982
"2072","2","Gd9",0
"2073","3","Gd9",569
"2074","4","Gd9",4260
"2075","5","Gd9",875916
"2076","6","Gd9",0
"2077","7","Gd9",0
"2078","8","Gd9",0
"2079","NaN","Gd9",0
"2080","1","Gh1",20299738
"2081","2","Gh1",242165
"2082","3","Gh1",34716
"2083","4","Gh1",43025
"2084","5","Gh1",244958
"2085","6","Gh1",1303
"2086","7","Gh1",14053
"2087","8","Gh1",46595
"2088","NaN","Gh1",0
"2089","1","Gh10",14505333
"2090","2","Gh10",5303318
"2091","3","Gh10",251229
"2092","4","Gh10",670642
"2093","5","Gh10",43312980
"2094","6","Gh10",177298
"2095","7","Gh10",665301
"2096","8","Gh10",28209
"2097","NaN","Gh10",0
"2098","1","Gh11",1034341
"2099","2","Gh11",236282
"2100","3","Gh11",6885
"2101","4","Gh11",76479
"2102","5","Gh11",907743
"2103","6","Gh11",1214
"2104","7","Gh11",37860
"2105","8","Gh11",8088
"2106","NaN","Gh11",0
"2107","1","Gh12",550849
"2108","2","Gh12",107790
"2109","3","Gh12",2291
"2110","4","Gh12",60109
"2111","5","Gh12",27729
"2112","6","Gh12",65968
"2113","7","Gh12",7029
"2114","8","Gh12",1973
"2115","NaN","Gh12",0
"2116","1","Gh13",5294166
"2117","2","Gh13",1227301
"2118","3","Gh13",14673
"2119","4","Gh13",298296
