"","nlc2022_7class","T_MAPCODE","n"
"234","NaN","AT40",0
"235","1","AT41",497916
"236","2","AT41",43522
"237","3","AT41",256
"238","4","AT41",36266
"239","5","AT41",158023
"240","6","AT41",367
"241","7","AT41",10706
"242","8","AT41",21748
"243","NaN","AT41",0
"244","1","AT42",129326
"245","2","AT42",10314
"246","3","AT42",66
"247","4","AT42",1450
"248","5","AT42",8449
"249","6","AT42",14
"250","7","AT42",22
"251","8","AT42",0
"252","NaN","AT42",0
"253","1","AT43",662414
"254","2","AT43",21888
"255","3","AT43",2099
"256","4","AT43",5739
"257","5","AT43",21014
"258","6","AT43",23
"259","7","AT43",95
"260","8","AT43",2236
"261","NaN","AT43",0
"262","1","AT44",155313
"263","2","AT44",49931
"264","3","AT44",253
"265","4","AT44",182838
"266","5","AT44",16394
"267","6","AT44",934
"268","7","AT44",156
"269","8","AT44",2825
"270","NaN","AT44",0
"271","1","AT45",1069627
"272","2","AT45",198419
"273","3","AT45",943
"274","4","AT45",16898
"275","5","AT45",448370
"276","6","AT45",154
"277","7","AT45",1543
"278","8","AT45",6609
"279","NaN","AT45",0
"280","1","AT46",1379006
"281","2","AT46",16165
"282","3","AT46",3395
"283","4","AT46",10174
"284","5","AT46",19245
"285","6","AT46",433
"286","7","AT46",60
"287","8","AT46",1166
"288","NaN","AT46",0
"289","1","AT47",2215071
"290","2","AT47",22602
"291","3","AT47",2473
"292","4","AT47",14620
"293","5","AT47",21175
"294","6","AT47",185
"295","7","AT47",0
"296","8","AT47",313
"297","NaN","AT47",0
"298","1","AT48",28965
"299","2","AT48",1900
"300","3","AT48",9
"301","4","AT48",14663
"302","5","AT48",5142
"303","6","AT48",0
"304","7","AT48",0
"305","8","AT48",263
"306","NaN","AT48",0
"307","1","AT49",13803741
"308","2","AT49",105632
"309","3","AT49",55082
"310","4","AT49",57710
"311","5","AT49",87869
"312","6","AT49",1075
"313","7","AT49",387
"314","8","AT49",6296
"315","NaN","AT49",0
"316","1","AT50",1249985
"317","2","AT50",46915
"318","3","AT50",1593
"319","4","AT50",44720
"320","5","AT50",61227
"321","6","AT50",241
"322","7","AT50",554
"323","8","AT50",38621
"324","NaN","AT50",0
"325","1","AT51",4185469
"326","2","AT51",103599
"327","3","AT51",7321
"328","4","AT51",180985
"329","5","AT51",371314
"330","6","AT51",5161
"331","7","AT51",5856
"332","8","AT51",48802
"333","NaN","AT51",0
"334","1","AT52",75449
"335","2","AT52",10540
"336","3","AT52",0
"337","4","AT52",63
"338","5","AT52",22785
"339","6","AT52",0
"340","7","AT52",0
"341","8","AT52",155
"342","NaN","AT52",0
"343","1","AT53",36682
"344","2","AT53",5058
"345","3","AT53",22
"346","4","AT53",14612
"347","5","AT53",1443
"348","6","AT53",0
"349","7","AT53",5248
"350","8","AT53",4692
"351","NaN","AT53",0
"352","1","AT54",417058
"353","2","AT54",2549
"354","3","AT54",834
"355","4","AT54",95
"356","5","AT54",3565
"357","6","AT54",0
"358","7","AT54",10
"359","8","AT54",45190
"360","NaN","AT54",0
"361","1","AT55",1852319
"362","2","AT55",22076
"363","3","AT55",1288
"364","4","AT55",5074
"365","5","AT55",18232
"366","6","AT55",244
"367","7","AT55",60
"368","8","AT55",1675
"369","NaN","AT55",0
"370","1","AT56",1117542
"371","2","AT56",163997
"372","3","AT56",1350
"373","4","AT56",162804
"374","5","AT56",230186
"375","6","AT56",1994
"376","7","AT56",28840
"377","8","AT56",47331
"378","NaN","AT56",0
"379","1","AT57",236457
"380","2","AT57",23201
"381","3","AT57",6203
"382","4","AT57",29665
"383","5","AT57",18698
"384","6","AT57",663
"385","7","AT57",458
"386","8","AT57",27317
"387","NaN","AT57",0
"388","1","AT58",5551672
"389","2","AT58",32345
"390","3","AT58",6424
"391","4","AT58",14067
"392","5","AT58",24525
"393","6","AT58",204
"394","7","AT58",59
"395","8","AT58",1566
"396","NaN","AT58",0
"397","1","AZa1",40193
"398","2","AZa1",926
"399","3","AZa1",2
"400","4","AZa1",83
"401","5","AZa1",173
"402","6","AZa1",0
"403","7","AZa1",110
"404","8","AZa1",5274
"405","NaN","AZa1",0
"406","1","AZa2",208030
"407","2","AZa2",110066
"408","3","AZa2",3161
"409","4","AZa2",26258
"410","5","AZa2",432943
"411","6","AZa2",129
"412","7","AZa2",14002
"413","8","AZa2",82401
"414","NaN","AZa2",0
"415","1","AZa3",1260951
"416","2","AZa3",132360
"417","3","AZa3",41607
"418","4","AZa3",25603
"419","5","AZa3",647674
"420","6","AZa3",2288
"421","7","AZa3",50
"422","8","AZa3",66508
"423","NaN","AZa3",0
"424","1","AZa4",2883891
"425","2","AZa4",230389
"426","3","AZa4",18269
"427","4","AZa4",48086
"428","5","AZa4",1018395
"429","6","AZa4",15322
"430","7","AZa4",16873
"431","8","AZa4",237141
"432","NaN","AZa4",0
"433","1","AZa5",5235307
"434","2","AZa5",583030
"435","3","AZa5",747994
"436","4","AZa5",88576
"437","5","AZa5",1320750
"438","6","AZa5",21374
"439","7","AZa5",59575
"440","8","AZa5",31313
"441","NaN","AZa5",0
"442","1","AZa6",701005
"443","2","AZa6",124926
"444","3","AZa6",17202
"445","4","AZa6",118689
