"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch4","niaps_ch3","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sum_rem","niaps_ext50","niaps_ext70","niaps_ext90","YEAR"
"133","FFs16",23.7924,20.6476,7.0584,1.9528,7.8836,11.3192,11.17,12.6668,4.8904,60.85,1173.312,0.138267741231659,0.100392052582774,0.0927119129438717,2023
"134","FFs17",0.8556,0.6752,1.344,0.062,0.6236,0.0348,0.418,2.5096,1.4056,1.3416,100.296,0.0924264178033022,0.0771635957565606,0.0631450905320252,2023
"135","FFs18",22.2372,24.1756,9.9224,4.436,7.4992,6.7996,4.6452,4.642,3.6436,10.2844,732.3164,0.134211387318378,0.0708333174021502,0.0512264917186069,2023
"136","FFs19",36.8796,59.942,35.2628,9.1672,10.4068,8.4316,37.1712,34.87,12.5116,50.4768,1047.7296,0.281675348295973,0.189264481980847,0.146858502422762,2023
"137","FFs2",13.7048,13.9852,3.3876,4.2412,2.9188,2.67,5.0568,0.27,0.0332,0.9028,937.778,0.0503001776539863,0.0207729334661295,0.012637959090531,2023
"138","FFs20",48.0804,57.022,35.4016,11.4756,13.5936,16.1164,32.8508,19.7992,7.3492,48.3864,1567.7116,0.185030971257724,0.11798904849591,0.0880873752544792,2023
"139","FFs21",0.3648,0,0,0,0,0,0,0,0,0,318.0388,0.00114702985924988,0,0,2023
"140","FFs22",0.3948,0,0.188,0.0196,0,0,0,0,0,0,385.3768,0.00156314547217165,0.000538693559134852,0,2023
"141","FFs23",0.946,0.3168,0.0132,0,0.0008,0,0.2744,0.1476,0.0068,0,846.108,0.00201581831161034,0.000523337446283453,0.000507736601001291,2023
"142","FFs24",2.0848,1.2644,0.1492,0.7288,0.1508,0.474,1.0004,1.2368,0,0.906,1082.2572,0.00738752303980976,0.00429287973320944,0.00348161231914188,2023
"143","FFs25",0.0132,0,0,0,0,0,0,0,0.006,0.0124,330.9052,0.0000954956283551905,0.0000556050494220097,0.0000556050494220097,2023
"144","FFs26",0.0376,0.0532,0.0024,0.112,0.0188,0.056,0.6536,0.1988,0,2.338,287.084,0.012088447980382,0.0117721642446113,0.0113736746039487,2023
"145","FFs27",4.558,4.5424,2.5052,0.2368,0.7412,0.8808,1.7972,2.1452,0.3148,13.4968,2155.9756,0.0144799412386671,0.0102589287188593,0.0089871146964743,2023
"146","FFs28",15.3824,13.5204,13.252,2.2076,3.792,1.8032,5.4848,6.0608,1.2468,12.4752,3696.5036,0.0203503656806935,0.012531409410774,0.00834918705340906,2023
"147","FFs29",0.8528,2.1188,5.2268,3.512,3.756,3.8036,1.9936,1.3384,0.3152,2.0876,131.6812,0.189888913527519,0.167322290501605,0.100958982755321,2023
"148","FFs3",1.3644,1.1852,2.8628,0.1516,0.1576,0.0616,0.8808,0.2328,0.0972,5.5072,469.3428,0.0266355422944594,0.0212032655023152,0.0147806677763034,2023
"149","FFs30",0.0012,0,0,0,0,0,0,0,0,0,37.4804,0.000032016734079679,0,0,2023
"150","FFs31",0.0896,0,0,0,0,0,0,0,0,0,50.79,0.00176412679661351,0,0,2023
"151","FFs32",2.5292,1.624,1.1624,1.6044,0.3192,0.174,0.2276,0.0068,0.046,0.0056,354.3128,0.0217299516133767,0.010008105831909,0.00219918670733883,2023
"152","FFs4",9.524,6.9852,4.4836,3.6384,3.096,2.3248,3.2632,1.3144,0.5084,1.6204,2232.7588,0.0164632202994788,0.00906913904000737,0.00543148682249063,2023
"153","FFs5",1.8216,2.6624,1.5344,3.9428,1.694,0.5988,1.4168,1.074,0.2204,1.9932,1051.0576,0.0161346057532908,0.0118684266209578,0.00665729451934889,2023
"154","FFs6",1.1864,0.3428,1.9536,1.2556,0.6432,1.412,3.0476,1.2232,0.9576,1.144,370.706,0.0355160153868564,0.0313909135541372,0.0227339185230344,2023
"155","FFs7",0.9084,1.5656,0.1592,0.6072,0.158,0.3072,0.1448,0.2204,0.0036,0.6856,371.0828,0.0128273258690513,0.00616035019677549,0.00409504293920386,2023
"156","FFs8",3.6876,0.39,0.4976,1.0056,0.6996,0.1656,0.2984,0.314,0.106,1.6012,315.7336,0.0277626454707386,0.0148479604324658,0.0100869847238305,2023
"157","FFs9",0.2728,0.2264,0.1924,0,0,0.25,0.176,0.0192,0,0.0004,203.276,0.00559436431256026,0.00313858989747929,0.0021920935083335,2023
"158","FFt1",0.388,0.646,0.0424,0.166,0.0396,0.4672,0.3476,1.6636,0.022,0.2392,395.7416,0.0101621866389583,0.00754937059940123,0.00702276434926225,2023
"159","FFt2",8.0388,4.9116,0.576,2.348,0,0.4256,0.9064,0.088,0.4156,1.4656,181.5708,0.10560949227519,0.0342852485091215,0.0181813375278404,2023
"160","FOa1",0.2336,0.3124,0.2604,0.2072,0.0092,0.1264,0.17,0.0056,0.036,0.0172,133.4168,0.0103285343375047,0.00623609620377644,0.00273129021232708,2023
"161","FOa2",0.2864,0.2704,0.1816,0.1316,0.0644,0.006,0.0044,0.0076,0.012,0.0016,72.8692,0.0132566296871655,0.00561554127120924,0.00131742903723384,2023
"162","FOa3",0.014,0.0308,0.016,0.0104,0,0,0.012,0,0,0,20.558,0.0040470862924409,0.00186788598112657,0.000583714369102053,2023
"163","FOz1",1.4892,2.4524,1.4864,0.4444,0.3364,0.5764,0.7856,0.7028,0.2468,3.3172,632.212,0.0187240988782244,0.0124894813765003,0.00943544254142598,2023
"164","FOz2",1.0548,2.0528,0.926,0.304,0.2368,0.1656,0.2044,0.112,0.0412,0.3356,182.4208,0.0297838842938963,0.0127485462184137,0.00600589406471192,2023
"165","FOz3",1.1352,1.6908,0.7844,0.3888,0.4188,0.4156,0.9036,0.8044,0.3156,1.9724,884.3512,0.00998426869325218,0.00678870566354181,0.00546208338949503,2023
"166","FOz4",0.5804,0.7324,0.3772,0.266,0.0592,0.0248,0.0988,0.0896,0.094,0.0984,288.9104,0.00837906838936916,0.00383509904800935,0.00160880328295555,2023
"167","FOz5",3.4588,1.828,1.34,0.9988,0.3892,0.408,0.8756,0.2672,0.1488,0.3808,946.1864,0.0106693564819786,0.00508187393097174,0.00261005653854251,2023
"168","FOz6",0.0492,0.0624,0.07,0.022,0.0184,0.0104,0.0524,0.2236,0.012,0.094,150.9288,0.00407079364574554,0.00333137214368629,0.00272181319933638,2023
"169","FOz7",0.9,1.176,0.6136,0.7188,0.364,0.2328,0.1904,0.1756,0.1404,0.1412,514.9484,0.00903546840809681,0.00500399651693257,0.00241655280412562,2023
"170","FOz8",0.0668,0.1744,0.0724,0.0496,0,0.0424,0.0068,0.01,0.0024,0,244.2452,0.00173923581712148,0.000751703615874539,0.00025220557046771,2023
"171","FRa1",0.8144,1.2356,0.5048,1.0128,2.118,0.3968,2.1488,2.0408,1.1516,9.4952,174.4068,0.119942571046542,0.108188442193768,0.0994869466098799,2023
"172","FRa2",0.0428,0.0588,2.1456,0.0992,0.5992,0.0916,0.8532,0.6076,0.1564,1.0264,36.5332,0.155496917871963,0.152715885824401,0.0912704060963726,2023
"173","FRc1",0.036,0.0212,0.0612,0.0192,0.1496,0.1808,0.4704,0.1928,0.0148,0.2476,12.802,0.108857990938916,0.10438993907202,0.0981096703640056,2023
"174","FRc2",0.53,0.3652,0.1752,0.0588,0.0588,0.3088,0.3068,0.2192,0.07,0.12,28.494,0.077658454411455,0.0462413139608339,0.0380290587492104,2023
"175","FRd1",1.8588,0.102,0.2596,0.582,0,0.2824,0,0,0,0,197.2376,0.0156400199556271,0.00569871059067845,0.00143177568577188,2023
"176","FRd2",0.216,0.8896,0.1324,0.0412,0,0.0016,0.2784,0,0,0,565.3256,0.00275805659605721,0.000802369466374776,0.000495289794058504,2023
"177","FRg1",1.0164,1.0564,0.1364,0.9904,0,0,0.1216,0,0,0,252.788,0.013138281880469,0.00493852556292229,0.000481035492191085,2023
"178","FRg2",2.9884,6.1992,3.9272,1.0264,3.8296,1.5764,5.1316,4.2724,1.5316,7.5296,153.8836,0.247020475216332,0.187315607381163,0.15512504256464,2023
"179","FRg3",0.0032,0.104,0.0232,0,0,0.0272,0.2192,0,0,0.0028,18.8332,0.0201558949089905,0.0144638192128794,0.0132319520846165,2023
"180","FRl1",1.3664,0.81,0.4,0.7136,1.3768,0.5256,2.346,2.6064,0.1928,0.8024,432.6812,0.0257464387174668,0.0207164073687509,0.0181426879651808,2023
"181","FRs1",6.6652,9.3228,1.534,2.0364,0.0012,0.0168,0.02,0.0072,0.0288,1.1272,196.0464,0.105891258395972,0.0243391360412637,0.00612712092647455,2023
"182","FRs10",0,0.0112,0.0256,0,0,0,0,0,0,0,2.5132,0.0146426866146745,0.0101862167754258,0,2023
"183","FRs11",1.1948,2.4136,1.466,1.248,1.1708,0.828,1.7784,3.9832,1.32,5.316,153.0492,0.13537346160581,0.11179672941773,0.0940638696576003,2023
"184","FRs12",0.9724,3.1888,1.652,0.4208,1.5496,2.1104,2.3276,1.3816,0.9348,4.152,195.7052,0.0955007838320086,0.0742381909116365,0.0636467503162921,2023
"185","FRs13",10.38,6.336,5.8232,3.4996,4.1672,4.3724,5.2536,3.568,1.6776,3.9188,397.7656,0.12317907833156,0.0811543280766361,0.0577164038318045,2023
"186","FRs14",7.64,5.1956,6.304,5.0748,3.4264,2.7184,7.7532,7.0012,3.6092,13.6592,326.5452,0.19103634045149,0.151729071503731,0.116883053249596,2023
"187","FRs15",0.3932,0.0748,0.0928,0,0.066,0.12,0.0288,0,0,0.0604,264.244,0.00316374260153494,0.00139265224565175,0.00104146167935696,2023
"188","FRs16",5.5372,2.1292,0.07,0.1344,0.146,0.2344,0.3748,0.2048,0.0236,1.0236,1104.1168,0.00894651725252256,0.00200304895279195,0.00181792361098029,2023
