"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"137",2241,1,"Gs13",367292,146.9168,0
"138",2242,2,"Gs13",206784,82.7136,0
"139",2243,3,"Gs13",52863,21.1452,0
"140",2244,4,"Gs13",44306,17.7224,0
"141",2245,5,"Gs13",550311,220.1244,0
"142",2246,6,"Gs13",1130,0.452,0
"143",2247,7,"Gs13",2188,0.8752,0
"144",2249,1,"Gs14",607486,242.9944,0
"145",2250,2,"Gs14",136737,54.6948,0
"146",2251,3,"Gs14",547,0.2188,0
"147",2252,4,"Gs14",207798,83.1192,0
"148",2253,5,"Gs14",292768,117.1072,0
"149",2254,6,"Gs14",1253,0.5012,0
"150",2255,7,"Gs14",11283,4.5132,0
"151",2289,1,"Gs19",29819,11.9276,0
"152",2290,2,"Gs19",28772,11.5088,0
"153",2291,3,"Gs19",4,0.0016,0
"154",2292,4,"Gs19",13763,5.5052,0
"155",2293,5,"Gs19",12424,4.9696,0
"156",2305,1,"Gs20",58456,23.3824,0
"157",2306,2,"Gs20",38575,15.43,0
"158",2307,3,"Gs20",12,0.0048,0
"159",2308,4,"Gs20",76053,30.4212,0
"160",2309,5,"Gs20",45091,18.0364,0
"161",2311,7,"Gs20",1672,0.6688,0
"162",2313,1,"Gs3",889678,355.8712,0
"163",2314,2,"Gs3",15895,6.358,0
"164",2315,3,"Gs3",328,0.1312,0
"165",2316,4,"Gs3",7286,2.9144,0
"166",2317,5,"Gs3",2009,0.8036,0
"167",2318,6,"Gs3",7,0.0028,0
"168",2319,7,"Gs3",2058,0.8232,0
"169",2321,1,"Gs4",3483565,1393.426,0
"170",2322,2,"Gs4",865955,346.382,0
"171",2323,3,"Gs4",133176,53.2704,0
"172",2324,4,"Gs4",684557,273.8228,0
"173",2325,5,"Gs4",1688586,675.4344,0
"174",2326,6,"Gs4",1797,0.7188,0
"175",2327,7,"Gs4",55063,22.0252,0
"176",2329,1,"Gs6",2897785,1159.114,0
"177",2330,2,"Gs6",681697,272.6788,0
"178",2331,3,"Gs6",70559,28.2236,0
"179",2332,4,"Gs6",188998,75.5992,0
"180",2333,5,"Gs6",716400,286.56,0
"181",2334,6,"Gs6",388,0.1552,0
"182",2335,7,"Gs6",4462,1.7848,0
"183",2353,1,"Gs9",440059,176.0236,0
"184",2354,2,"Gs9",130391,52.1564,0
"185",2355,3,"Gs9",75,0.03,0
"186",2356,4,"Gs9",218833,87.5332,0
"187",2357,5,"Gs9",211368,84.5472,0
"188",2358,6,"Gs9",358,0.1432,0
"189",2359,7,"Gs9",11270,4.508,0
"190",3081,1,"SVcb20",864612,345.8448,0
"191",3082,2,"SVcb20",277455,110.982,0
"192",3083,3,"SVcb20",3221,1.2884,0
"193",3084,4,"SVcb20",123914,49.5656,0
"194",3085,5,"SVcb20",63638,25.4552,0
"195",3086,6,"SVcb20",408,0.1632,0
"196",3087,7,"SVcb20",41908,16.7632,0
"197",3089,1,"SVcb21",2646329,1058.5316,0
"198",3090,2,"SVcb21",546486,218.5944,0
"199",3091,3,"SVcb21",10139,4.0556,0
"200",3092,4,"SVcb21",410024,164.0096,0
"201",3093,5,"SVcb21",189388,75.7552,0
"202",3094,6,"SVcb21",215,0.086,0
"203",3095,7,"SVcb21",300964,120.3856,0
"204",3097,1,"SVcb22",1179,0.4716,0
"205",3098,2,"SVcb22",166,0.0664,0
"206",3393,1,"SVl1",2930246,1172.0984,0
"207",3394,2,"SVl1",560693,224.2772,0
"208",3395,3,"SVl1",1753,0.7012,0
"209",3396,4,"SVl1",355983,142.3932,0
"210",3397,5,"SVl1",169596,67.8384,0
"211",3398,6,"SVl1",2706,1.0824,0
"212",3399,7,"SVl1",1527,0.6108,0
"213",3401,1,"SVl10",831858,332.7432,0
