"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"589",7505,1,"AT17",1441850,576.74,99
"590",7506,2,"AT17",119096,47.6384,99
"591",7507,3,"AT17",1174,0.4696,99
"592",7508,4,"AT17",12945,5.178,99
"593",7509,5,"AT17",243145,97.258,99
"594",7510,6,"AT17",226,0.0904,99
"595",7511,7,"AT17",4571,1.8284,99
"596",7513,1,"AT18",2586776,1034.7104,99
"597",7514,2,"AT18",116889,46.7556,99
"598",7515,3,"AT18",1037,0.4148,99
"599",7516,4,"AT18",5308,2.1232,99
"600",7517,5,"AT18",226716,90.6864,99
"601",7518,6,"AT18",36,0.0144,99
"602",7519,7,"AT18",2316,0.9264,99
"603",7521,1,"AT19",2654566,1061.8264,99
"604",7522,2,"AT19",17099,6.8396,99
"605",7523,3,"AT19",4752,1.9008,99
"606",7524,4,"AT19",3952,1.5808,99
"607",7525,5,"AT19",14251,5.7004,99
"608",7526,6,"AT19",33,0.0132,99
"609",7527,7,"AT19",15,0.006,99
"610",7529,1,"AT20",50004,20.0016,99
"611",7530,2,"AT20",5612,2.2448,99
"612",7531,3,"AT20",223,0.0892,99
"613",7532,4,"AT20",31972,12.7888,99
"614",7534,6,"AT20",975,0.39,99
"615",7535,7,"AT20",5,0.002,99
"616",7537,1,"AT21",777244,310.8976,99
"617",7538,2,"AT21",44839,17.9356,99
"618",7539,3,"AT21",22644,9.0576,99
"619",7540,4,"AT21",45993,18.3972,99
"620",7541,5,"AT21",74537,29.8148,99
"621",7542,6,"AT21",187,0.0748,99
"622",7543,7,"AT21",323,0.1292,99
"623",7545,1,"AT22",230992,92.3968,99
"624",7546,2,"AT22",82632,33.0528,99
"625",7547,3,"AT22",8990,3.596,99
"626",7548,4,"AT22",105798,42.3192,99
"627",7549,5,"AT22",109896,43.9584,99
"628",7550,6,"AT22",292,0.1168,99
"629",7551,7,"AT22",120,0.048,99
"630",7553,1,"AT23",670699,268.2796,99
"631",7554,2,"AT23",56327,22.5308,99
"632",7555,3,"AT23",309,0.1236,99
"633",7556,4,"AT23",22796,9.1184,99
"634",7557,5,"AT23",27579,11.0316,99
"635",7558,6,"AT23",12,0.0048,99
"636",7559,7,"AT23",260,0.104,99
"637",7561,1,"AT24",6495116,2598.0464,99
"638",7562,2,"AT24",422191,168.8764,99
"639",7563,3,"AT24",5082,2.0328,99
"640",7564,4,"AT24",137061,54.8244,99
"641",7565,5,"AT24",377305,150.922,99
"642",7566,6,"AT24",133,0.0532,99
"643",7567,7,"AT24",3449,1.3796,99
"644",7569,1,"AT25",5273051,2109.2204,99
"645",7570,2,"AT25",22041,8.8164,99
"646",7571,3,"AT25",3690,1.476,99
"647",7572,4,"AT25",15690,6.276,99
"648",7573,5,"AT25",7689,3.0756,99
"649",7574,6,"AT25",253,0.1012,99
"650",7577,1,"AT26",75435,30.174,99
"651",7578,2,"AT26",5641,2.2564,99
"652",7579,3,"AT26",299,0.1196,99
"653",7580,4,"AT26",721,0.2884,99
"654",7581,5,"AT26",19110,7.644,99
"655",7585,1,"AT27",3077134,1230.8536,99
"656",7586,2,"AT27",8806,3.5224,99
"657",7587,3,"AT27",720,0.288,99
"658",7588,4,"AT27",5896,2.3584,99
"659",7589,5,"AT27",6448,2.5792,99
"660",7590,6,"AT27",942,0.3768,99
"661",7591,7,"AT27",2,8e-04,99
"662",7593,1,"AT28",2270580,908.232,99
"663",7594,2,"AT28",148087,59.2348,99
"664",7595,3,"AT28",2634,1.0536,99
"665",7596,4,"AT28",60573,24.2292,99
"666",7597,5,"AT28",89760,35.904,99
"667",7598,6,"AT28",65,0.026,99
"668",7599,7,"AT28",4577,1.8308,99
"669",7601,1,"AT29",1920140,768.056,99
"670",7602,2,"AT29",14513,5.8052,99
"671",7603,3,"AT29",1683,0.6732,99
"672",7604,4,"AT29",13698,5.4792,99
"673",7605,5,"AT29",10564,4.2256,99
"674",7606,6,"AT29",937,0.3748,99
"675",7609,1,"AT30",1563314,625.3256,99
"676",7610,2,"AT30",27429,10.9716,99
"677",7611,3,"AT30",5860,2.344,99
"678",7612,4,"AT30",21433,8.5732,99
"679",7613,5,"AT30",67044,26.8176,99
"680",7614,6,"AT30",44,0.0176,99
"681",7615,7,"AT30",22,0.0088,99
"682",7617,1,"AT31",525490,210.196,99
"683",7618,2,"AT31",55195,22.078,99
"684",7619,3,"AT31",95,0.038,99
"685",7620,4,"AT31",4060,1.624,99
"686",7621,5,"AT31",16562,6.6248,99
"687",7623,7,"AT31",602,0.2408,99
"688",7625,1,"AT32",8626663,3450.6652,99
"689",7626,2,"AT32",112279,44.9116,99
"690",7627,3,"AT32",15245,6.098,99
"691",7628,4,"AT32",64523,25.8092,99
"692",7629,5,"AT32",165079,66.0316,99
"693",7630,6,"AT32",254,0.1016,99
"694",7631,7,"AT32",6417,2.5668,99
"695",7633,1,"AT33",1210176,484.0704,99
"696",7634,2,"AT33",7098,2.8392,99
"697",7635,3,"AT33",2433,0.9732,99
"698",7636,4,"AT33",1968,0.7872,99
"699",7637,5,"AT33",7810,3.124,99
"700",7638,6,"AT33",15,0.006,99
"701",7639,7,"AT33",14,0.0056,99
"702",7641,1,"AT34",404185,161.674,99
"703",7642,2,"AT34",4170,1.668,99
"704",7643,3,"AT34",387,0.1548,99
"705",7644,4,"AT34",1024,0.4096,99
"706",7645,5,"AT34",8866,3.5464,99
"707",7646,6,"AT34",140,0.056,99
"708",7647,7,"AT34",45,0.018,99
"709",7649,1,"AT35",45936,18.3744,99
"710",7650,2,"AT35",10946,4.3784,99
"711",7652,4,"AT35",477,0.1908,99
"712",7653,5,"AT35",18010,7.204,99
"713",7657,1,"AT36",74411,29.7644,99
"714",7658,2,"AT36",9601,3.8404,99
"715",7659,3,"AT36",8,0.0032,99
"716",7660,4,"AT36",13634,5.4536,99
"717",7661,5,"AT36",5326,2.1304,99
"718",7662,6,"AT36",254,0.1016,99
"719",7663,7,"AT36",25295,10.118,99
"720",7665,1,"AT37",265318,106.1272,99
"721",7666,2,"AT37",42016,16.8064,99
"722",7667,3,"AT37",152,0.0608,99
"723",7668,4,"AT37",3843,1.5372,99
"724",7669,5,"AT37",129979,51.9916,99
"725",7670,6,"AT37",177,0.0708,99
"726",7671,7,"AT37",131,0.0524,99
"727",7673,1,"AT38",2124413,849.7652,99
"728",7674,2,"AT38",255149,102.0596,99
"729",7675,3,"AT38",1945,0.778,99
"730",7676,4,"AT38",61783,24.7132,99
"731",7677,5,"AT38",733145,293.258,99
"732",7678,6,"AT38",2075,0.83,99
"733",7679,7,"AT38",48625,19.45,99
"734",7681,1,"AT39",542460,216.984,99
"735",7682,2,"AT39",23599,9.4396,99
"736",7683,3,"AT39",84,0.0336,99
"737",7684,4,"AT39",24854,9.9416,99
"738",7685,5,"AT39",20369,8.1476,99
"739",7686,6,"AT39",3283,1.3132,99
"740",7689,1,"AT40",1157900,463.16,99
"741",7690,2,"AT40",119159,47.6636,99
"742",7691,3,"AT40",325,0.13,99
"743",7692,4,"AT40",101716,40.6864,99
"744",7693,5,"AT40",109559,43.8236,99
"745",7694,6,"AT40",542,0.2168,99
"746",7695,7,"AT40",1592,0.6368,99
"747",7697,1,"AT41",519664,207.8656,99
"748",7698,2,"AT41",43522,17.4088,99
"749",7699,3,"AT41",256,0.1024,99
"750",7700,4,"AT41",36266,14.5064,99
"751",7701,5,"AT41",158023,63.2092,99
"752",7702,6,"AT41",367,0.1468,99
"753",7703,7,"AT41",10706,4.2824,99
"754",7705,1,"AT42",129326,51.7304,99
"755",7706,2,"AT42",10314,4.1256,99
"756",7707,3,"AT42",66,0.0264,99
"757",7708,4,"AT42",1450,0.58,99
"758",7709,5,"AT42",8449,3.3796,99
"759",7710,6,"AT42",14,0.0056,99
"760",7711,7,"AT42",22,0.0088,99
"761",7713,1,"AT43",664650,265.86,99
"762",7714,2,"AT43",21888,8.7552,99
"763",7715,3,"AT43",2099,0.8396,99
"764",7716,4,"AT43",5739,2.2956,99
"765",7717,5,"AT43",21014,8.4056,99
"766",7718,6,"AT43",23,0.0092,99
"767",7719,7,"AT43",95,0.038,99
"768",7721,1,"AT44",158138,63.2552,99
"769",7722,2,"AT44",49931,19.9724,99
"770",7723,3,"AT44",253,0.1012,99
"771",7724,4,"AT44",182838,73.1352,99
"772",7725,5,"AT44",16394,6.5576,99
"773",7726,6,"AT44",934,0.3736,99
"774",7727,7,"AT44",156,0.0624,99
"775",7729,1,"AT45",1076236,430.4944,99
"776",7730,2,"AT45",198419,79.3676,99
"777",7731,3,"AT45",943,0.3772,99
"778",7732,4,"AT45",16898,6.7592,99
"779",7733,5,"AT45",448370,179.348,99
"780",7734,6,"AT45",154,0.0616,99
"781",7735,7,"AT45",1543,0.6172,99
"782",7737,1,"AT46",1380172,552.0688,99
"783",7738,2,"AT46",16165,6.466,99
"784",7739,3,"AT46",3395,1.358,99
"785",7740,4,"AT46",10174,4.0696,99
"786",7741,5,"AT46",19245,7.698,99
"787",7742,6,"AT46",433,0.1732,99
"788",7743,7,"AT46",60,0.024,99
"789",7745,1,"AT47",2215384,886.1536,99
"790",7746,2,"AT47",22602,9.0408,99
"791",7747,3,"AT47",2473,0.9892,99
"792",7748,4,"AT47",14620,5.848,99
"793",7749,5,"AT47",21175,8.47,99
"794",7750,6,"AT47",185,0.074,99
"795",7753,1,"AT48",29228,11.6912,99
"796",7754,2,"AT48",1900,0.76,99
"797",7755,3,"AT48",9,0.0036,99
"798",7756,4,"AT48",14663,5.8652,99
"799",7757,5,"AT48",5142,2.0568,99
"800",7761,1,"AT49",13810037,5524.0148,99
"801",7762,2,"AT49",105632,42.2528,99
"802",7763,3,"AT49",55082,22.0328,99
"803",7764,4,"AT49",57710,23.084,99
"804",7765,5,"AT49",87869,35.1476,99
"805",7766,6,"AT49",1075,0.43,99
"806",7767,7,"AT49",387,0.1548,99
"807",7769,1,"AT50",1288606,515.4424,99
"808",7770,2,"AT50",46915,18.766,99
"809",7771,3,"AT50",1593,0.6372,99
"810",7772,4,"AT50",44720,17.888,99
"811",7773,5,"AT50",61227,24.4908,99
"812",7774,6,"AT50",241,0.0964,99
"813",7775,7,"AT50",554,0.2216,99
"814",7777,1,"AT51",4234271,1693.7084,99
"815",7778,2,"AT51",103599,41.4396,99
"816",7779,3,"AT51",7321,2.9284,99
"817",7780,4,"AT51",180985,72.394,99
"818",7781,5,"AT51",371314,148.5256,99
"819",7782,6,"AT51",5161,2.0644,99
"820",7783,7,"AT51",5856,2.3424,99
"821",7785,1,"AT52",75604,30.2416,99
"822",7786,2,"AT52",10540,4.216,99
"823",7788,4,"AT52",63,0.0252,99
"824",7789,5,"AT52",22785,9.114,99
"825",7793,1,"AT53",41374,16.5496,99
"826",7794,2,"AT53",5058,2.0232,99
"827",7795,3,"AT53",22,0.0088,99
"828",7796,4,"AT53",14612,5.8448,99
"829",7797,5,"AT53",1443,0.5772,99
"830",7799,7,"AT53",5248,2.0992,99
"831",7801,1,"AT54",462248,184.8992,99
"832",7802,2,"AT54",2549,1.0196,99
"833",7803,3,"AT54",834,0.3336,99
"834",7804,4,"AT54",95,0.038,99
"835",7805,5,"AT54",3565,1.426,99
"836",7807,7,"AT54",10,0.004,99
"837",7809,1,"AT55",1853994,741.5976,99
"838",7810,2,"AT55",22076,8.8304,99
"839",7811,3,"AT55",1288,0.5152,99
"840",7812,4,"AT55",5074,2.0296,99
"841",7813,5,"AT55",18232,7.2928,99
"842",7814,6,"AT55",244,0.0976,99
"843",7815,7,"AT55",60,0.024,99
"844",7817,1,"AT56",1164873,465.9492,99
"845",7818,2,"AT56",163997,65.5988,99
"846",7819,3,"AT56",1350,0.54,99
"847",7820,4,"AT56",162804,65.1216,99
"848",7821,5,"AT56",230186,92.0744,99
"849",7822,6,"AT56",1994,0.7976,99
"850",7823,7,"AT56",28840,11.536,99
"851",7825,1,"AT57",263774,105.5096,99
"852",7826,2,"AT57",23201,9.2804,99
"853",7827,3,"AT57",6203,2.4812,99
"854",7828,4,"AT57",29665,11.866,99
"855",7829,5,"AT57",18698,7.4792,99
"856",7830,6,"AT57",663,0.2652,99
"857",7831,7,"AT57",458,0.1832,99
"858",7833,1,"AT58",5553238,2221.2952,99
"859",7834,2,"AT58",32345,12.938,99
"860",7835,3,"AT58",6424,2.5696,99
"861",7836,4,"AT58",14067,5.6268,99
"862",7837,5,"AT58",24525,9.81,99
"863",7838,6,"AT58",204,0.0816,99
"864",7839,7,"AT58",59,0.0236,99
"865",7841,1,"AZa1",45467,18.1868,99
"866",7842,2,"AZa1",926,0.3704,99
"867",7843,3,"AZa1",2,8e-04,99
"868",7844,4,"AZa1",83,0.0332,99
"869",7845,5,"AZa1",173,0.0692,99
"870",7847,7,"AZa1",110,0.044,99
"871",7849,1,"AZa2",290431,116.1724,99
"872",7850,2,"AZa2",110066,44.0264,99
"873",7851,3,"AZa2",3161,1.2644,99
"874",7852,4,"AZa2",26258,10.5032,99
"875",7853,5,"AZa2",432943,173.1772,99
"876",7854,6,"AZa2",129,0.0516,99
"877",7855,7,"AZa2",14002,5.6008,99
"878",7857,1,"AZa3",1327459,530.9836,99
"879",7858,2,"AZa3",132360,52.944,99
"880",7859,3,"AZa3",41607,16.6428,99
"881",7860,4,"AZa3",25603,10.2412,99
"882",7861,5,"AZa3",647674,259.0696,99
"883",7862,6,"AZa3",2288,0.9152,99
"884",7863,7,"AZa3",50,0.02,99
"885",7865,1,"AZa4",3121032,1248.4128,99
"886",7866,2,"AZa4",230389,92.1556,99
"887",7867,3,"AZa4",18269,7.3076,99
"888",7868,4,"AZa4",48086,19.2344,99
"889",7869,5,"AZa4",1018395,407.358,99
"890",7870,6,"AZa4",15322,6.1288,99
"891",7871,7,"AZa4",16873,6.7492,99
"892",7873,1,"AZa5",5266620,2106.648,99
"893",7874,2,"AZa5",583030,233.212,99
"894",7875,3,"AZa5",747994,299.1976,99
"895",7876,4,"AZa5",88576,35.4304,99
"896",7877,5,"AZa5",1320750,528.3,99
"897",7878,6,"AZa5",21374,8.5496,99
"898",7879,7,"AZa5",59575,23.83,99
"899",7881,1,"AZa6",715074,286.0296,99
"900",7882,2,"AZa6",124926,49.9704,99
"901",7883,3,"AZa6",17202,6.8808,99
"902",7884,4,"AZa6",118689,47.4756,99
"903",7885,5,"AZa6",626683,250.6732,99
"904",7886,6,"AZa6",1471,0.5884,99
"905",7887,7,"AZa6",29471,11.7884,99
"906",7889,1,"AZa7",1947421,778.9684,99
"907",7890,2,"AZa7",197812,79.1248,99
"908",7891,3,"AZa7",59316,23.7264,99
"909",7892,4,"AZa7",39315,15.726,99
"910",7893,5,"AZa7",709113,283.6452,99
"911",7894,6,"AZa7",4603,1.8412,99
"912",7895,7,"AZa7",54674,21.8696,99
"913",7897,1,"AZd1",793,0.3172,99
"914",7898,2,"AZd1",1448,0.5792,99
"915",7899,3,"AZd1",166,0.0664,99
"916",7902,6,"AZd1",13694,5.4776,99
"917",7905,1,"AZd2",23792,9.5168,99
"918",7906,2,"AZd2",475,0.19,99
"919",7907,3,"AZd2",5,0.002,99
"920",7908,4,"AZd2",69,0.0276,99
"921",7910,6,"AZd2",8699,3.4796,99
"922",7913,1,"AZd3",538043,215.2172,99
"923",7914,2,"AZd3",6028,2.4112,99
"924",7915,3,"AZd3",324,0.1296,99
"925",7916,4,"AZd3",6157,2.4628,99
"926",7918,6,"AZd3",126,0.0504,99
"927",7919,7,"AZd3",5,0.002,99
"928",7921,1,"AZd4",65675,26.27,99
"929",7922,2,"AZd4",2037,0.8148,99
"930",7923,3,"AZd4",31,0.0124,99
"931",7924,4,"AZd4",1723,0.6892,99
"932",7926,6,"AZd4",361,0.1444,99
"933",7927,7,"AZd4",378,0.1512,99
"934",7929,1,"AZi1",3000319,1200.1276,99
"935",7930,2,"AZi1",158397,63.3588,99
"936",7931,3,"AZi1",4862,1.9448,99
"937",7932,4,"AZi1",14207,5.6828,99
"938",7933,5,"AZi1",225274,90.1096,99
"939",7934,6,"AZi1",5154,2.0616,99
"940",7935,7,"AZi1",1549,0.6196,99
"941",7937,1,"AZi3",4786541,1914.6164,99
"942",7938,2,"AZi3",32696,13.0784,99
"943",7939,3,"AZi3",120,0.048,99
"944",7940,4,"AZi3",20592,8.2368,99
"945",7941,5,"AZi3",287,0.1148,99
"946",7942,6,"AZi3",265,0.106,99
"947",7943,7,"AZi3",248,0.0992,99
"948",7945,1,"AZi5",12037598,4815.0392,99
"949",7946,2,"AZi5",374018,149.6072,99
"950",7947,3,"AZi5",67847,27.1388,99
"951",7948,4,"AZi5",19929,7.9716,99
"952",7949,5,"AZi5",420789,168.3156,99
"953",7950,6,"AZi5",19737,7.8948,99
"954",7951,7,"AZi5",2570,1.028,99
"955",7953,1,"AZi6",11337442,4534.9768,99
"956",7954,2,"AZi6",581220,232.488,99
"957",7955,3,"AZi6",111149,44.4596,99
"958",7956,4,"AZi6",136126,54.4504,99
"959",7957,5,"AZi6",1074802,429.9208,99
"960",7958,6,"AZi6",3456,1.3824,99
"961",7959,7,"AZi6",13145,5.258,99
"962",7961,1,"AZi7",4959149,1983.6596,99
"963",7962,2,"AZi7",228982,91.5928,99
"964",7963,3,"AZi7",15468,6.1872,99
"965",7964,4,"AZi7",11865,4.746,99
"966",7965,5,"AZi7",107505,43.002,99
"967",7966,6,"AZi7",487,0.1948,99
"968",7967,7,"AZi7",1808,0.7232,99
"969",7969,1,"AZi8",359417,143.7668,99
"970",7970,2,"AZi8",99947,39.9788,99
"971",7971,3,"AZi8",3565,1.426,99
"972",7972,4,"AZi8",26296,10.5184,99
"973",7973,5,"AZi8",525366,210.1464,99
"974",7974,6,"AZi8",255,0.102,99
"975",7975,7,"AZi8",3102,1.2408,99
"976",7977,1,"AZs3",29930,11.972,99
"977",7978,2,"AZs3",1454,0.5816,99
"978",7979,3,"AZs3",10,0.004,99
"979",7980,4,"AZs3",821,0.3284,99
"980",7981,5,"AZs3",2,8e-04,99
"981",7983,7,"AZs3",199,0.0796,99
"982",7985,1,"CB1",2081370,832.548,99
"983",7986,2,"CB1",596282,238.5128,99
"984",7987,3,"CB1",9071,3.6284,99
"985",7988,4,"CB1",1008839,403.5356,99
"986",7989,5,"CB1",494907,197.9628,99
"987",7990,6,"CB1",29950,11.98,99
"988",7991,7,"CB1",1668935,667.574,99
"989",7993,1,"CB2",1002629,401.0516,99
"990",7994,2,"CB2",243413,97.3652,99
"991",7995,3,"CB2",309,0.1236,99
"992",7996,4,"CB2",269569,107.8276,99
"993",7997,5,"CB2",27295,10.918,99
"994",7998,6,"CB2",2595,1.038,99
"995",7999,7,"CB2",1259565,503.826,99
"996",8001,1,"CB3",1680785,672.314,99
"997",8002,2,"CB3",1373683,549.4732,99
"998",8003,3,"CB3",22380,8.952,99
"999",8004,4,"CB3",3426034,1370.4136,99
"1000",8005,5,"CB3",3667757,1467.1028,99
"1001",8006,6,"CB3",13238,5.2952,99
"1002",8007,7,"CB3",170640,68.256,99
"1003",8009,1,"CB4",1590005,636.002,99
"1004",8010,2,"CB4",510718,204.2872,99
"1005",8011,3,"CB4",2819,1.1276,99
"1006",8012,4,"CB4",297176,118.8704,99
"1007",8013,5,"CB4",604539,241.8156,99
"1008",8014,6,"CB4",4069,1.6276,99
"1009",8015,7,"CB4",226608,90.6432,99
"1010",8017,1,"CB5",2127790,851.116,99
"1011",8018,2,"CB5",618559,247.4236,99
"1012",8019,3,"CB5",888,0.3552,99
"1013",8020,4,"CB5",848486,339.3944,99
"1014",8021,5,"CB5",324356,129.7424,99
"1015",8022,6,"CB5",1034,0.4136,99
"1016",8023,7,"CB5",33317,13.3268,99
"1017",8025,1,"CB6",1028778,411.5112,99
"1018",8026,2,"CB6",657793,263.1172,99
"1019",8027,3,"CB6",939,0.3756,99
"1020",8028,4,"CB6",846598,338.6392,99
"1021",8029,5,"CB6",248387,99.3548,99
"1022",8030,6,"CB6",5418,2.1672,99
"1023",8031,7,"CB6",15035,6.014,99
"1024",8033,1,"Dg1",832244,332.8976,99
"1025",8034,2,"Dg1",171,0.0684,99
"1026",8035,3,"Dg1",33,0.0132,99
"1027",8038,6,"Dg1",7385,2.954,99
"1028",8041,1,"Dg10",5210699,2084.2796,99
"1029",8042,2,"Dg10",7387,2.9548,99
"1030",8043,3,"Dg10",174,0.0696,99
"1031",8044,4,"Dg10",5155,2.062,99
"1032",8045,5,"Dg10",3168,1.2672,99
"1033",8046,6,"Dg10",10121,4.0484,99
"1034",8047,7,"Dg10",1,4e-04,99
"1035",8049,1,"Dg2",903483,361.3932,99
"1036",8050,2,"Dg2",44,0.0176,99
"1037",8051,3,"Dg2",48,0.0192,99
"1038",8057,1,"Dg3",391172,156.4688,99
"1039",8058,2,"Dg3",136,0.0544,99
"1040",8059,3,"Dg3",1,4e-04,99
"1041",8060,4,"Dg3",17,0.0068,99
"1042",8062,6,"Dg3",8845,3.538,99
"1043",8065,1,"Dg4",267982,107.1928,99
"1044",8066,2,"Dg4",141,0.0564,99
"1045",8067,3,"Dg4",183,0.0732,99
"1046",8070,6,"Dg4",1193,0.4772,99
"1047",8073,1,"Dg5",1479836,591.9344,99
"1048",8074,2,"Dg5",157,0.0628,99
"1049",8075,3,"Dg5",237,0.0948,99
"1050",8076,4,"Dg5",485,0.194,99
"1051",8081,1,"Dg6",20267,8.1068,99
"1052",8082,2,"Dg6",17,0.0068,99
"1053",8084,4,"Dg6",275,0.11,99
"1054",8089,1,"Dg7",610113,244.0452,99
"1055",8090,2,"Dg7",791,0.3164,99
"1056",8091,3,"Dg7",34,0.0136,99
"1057",8092,4,"Dg7",3292,1.3168,99
"1058",8093,5,"Dg7",1144,0.4576,99
"1059",8094,6,"Dg7",2138,0.8552,99
"1060",8097,1,"Dg8",857311,342.9244,99
"1061",8098,2,"Dg8",70,0.028,99
"1062",8099,3,"Dg8",16,0.0064,99
"1063",8100,4,"Dg8",482,0.1928,99
"1064",8102,6,"Dg8",119,0.0476,99
"1065",8105,1,"Dg9",2995652,1198.2608,99
"1066",8106,2,"Dg9",18413,7.3652,99
"1067",8107,3,"Dg9",38,0.0152,99
"1068",8108,4,"Dg9",18783,7.5132,99
"1069",8109,5,"Dg9",10238,4.0952,99
"1070",8110,6,"Dg9",1597,0.6388,99
"1071",8111,7,"Dg9",254,0.1016,99
"1072",8113,1,"Dn1",3383,1.3532,99
"1073",8114,2,"Dn1",1310,0.524,99
"1074",8115,3,"Dn1",39,0.0156,99
"1075",8116,4,"Dn1",1366,0.5464,99
"1076",8118,6,"Dn1",36634,14.6536,99
"1077",8121,1,"Dn2",2525,1.01,99
"1078",8122,2,"Dn2",230,0.092,99
"1079",8126,6,"Dn2",1102,0.4408,99
"1080",8129,1,"Dn3",306496,122.5984,99
"1081",8130,2,"Dn3",10422,4.1688,99
"1082",8131,3,"Dn3",31,0.0124,99
"1083",8132,4,"Dn3",6343,2.5372,99
"1084",8134,6,"Dn3",26514,10.6056,99
"1085",8137,1,"Dn4",486903,194.7612,99
"1086",8138,2,"Dn4",6137,2.4548,99
"1087",8139,3,"Dn4",227,0.0908,99
"1088",8140,4,"Dn4",3831,1.5324,99
"1089",8141,5,"Dn4",2606,1.0424,99
"1090",8142,6,"Dn4",42833,17.1332,99
"1091",8145,1,"Dn5",961011,384.4044,99
"1092",8146,2,"Dn5",6644,2.6576,99
"1093",8147,3,"Dn5",280,0.112,99
"1094",8148,4,"Dn5",4202,1.6808,99
"1095",8150,6,"Dn5",73552,29.4208,99
"1096",8153,1,"FFa1",132407,52.9628,99
"1097",8154,2,"FFa1",56498,22.5992,99
"1098",8155,3,"FFa1",19306,7.7224,99
"1099",8156,4,"FFa1",2436,0.9744,99
"1100",8157,5,"FFa1",239118,95.6472,99
"1101",8158,6,"FFa1",23,0.0092,99
"1102",8159,7,"FFa1",375,0.15,99
"1103",8161,1,"FFa2",422370,168.948,99
"1104",8162,2,"FFa2",166399,66.5596,99
"1105",8163,3,"FFa2",11637,4.6548,99
"1106",8164,4,"FFa2",48693,19.4772,99
"1107",8165,5,"FFa2",586775,234.71,99
"1108",8166,6,"FFa2",694,0.2776,99
"1109",8167,7,"FFa2",17556,7.0224,99
"1110",8169,1,"FFa3",342499,136.9996,99
"1111",8170,2,"FFa3",189580,75.832,99
"1112",8171,3,"FFa3",49394,19.7576,99
"1113",8172,4,"FFa3",92628,37.0512,99
"1114",8173,5,"FFa3",490165,196.066,99
"1115",8174,6,"FFa3",316,0.1264,99
"1116",8175,7,"FFa3",28303,11.3212,99
"1117",8177,1,"FFa4",12805,5.122,99
"1118",8178,2,"FFa4",14544,5.8176,99
"1119",8179,3,"FFa4",573,0.2292,99
"1120",8180,4,"FFa4",48928,19.5712,99
"1121",8181,5,"FFa4",12290,4.916,99
"1122",8182,6,"FFa4",2,8e-04,99
"1123",8183,7,"FFa4",456,0.1824,99
"1124",8185,1,"FFb1",645563,258.2252,99
"1125",8186,2,"FFb1",20053,8.0212,99
"1126",8187,3,"FFb1",2698,1.0792,99
"1127",8188,4,"FFb1",1262,0.5048,99
"1128",8189,5,"FFb1",26917,10.7668,99
"1129",8190,6,"FFb1",20,0.008,99
"1130",8191,7,"FFb1",1159,0.4636,99
"1131",8193,1,"FFb2",320517,128.2068,99
"1132",8194,2,"FFb2",8616,3.4464,99
"1133",8195,3,"FFb2",147,0.0588,99
"1134",8196,4,"FFb2",119,0.0476,99
"1135",8197,5,"FFb2",2044,0.8176,99
"1136",8199,7,"FFb2",4884,1.9536,99
"1137",8201,1,"FFb3",244267,97.7068,99
"1138",8202,2,"FFb3",130,0.052,99
"1139",8203,3,"FFb3",31,0.0124,99
"1140",8204,4,"FFb3",69,0.0276,99
"1141",8205,5,"FFb3",145,0.058,99
"1142",8207,7,"FFb3",52,0.0208,99
"1143",8209,1,"FFb4",135142,54.0568,99
"1144",8210,2,"FFb4",4973,1.9892,99
"1145",8211,3,"FFb4",24,0.0096,99
"1146",8212,4,"FFb4",244,0.0976,99
"1147",8213,5,"FFb4",11040,4.416,99
"1148",8215,7,"FFb4",3483,1.3932,99
"1149",8217,1,"FFb5",239564,95.8256,99
"1150",8218,2,"FFb5",12627,5.0508,99
"1151",8219,3,"FFb5",293,0.1172,99
"1152",8220,4,"FFb5",611,0.2444,99
"1153",8221,5,"FFb5",17419,6.9676,99
"1154",8222,6,"FFb5",9,0.0036,99
"1155",8223,7,"FFb5",451,0.1804,99
"1156",8225,1,"FFb6",73170,29.268,99
"1157",8226,2,"FFb6",23760,9.504,99
"1158",8227,3,"FFb6",1566,0.6264,99
"1159",8228,4,"FFb6",6333,2.5332,99
"1160",8229,5,"FFb6",62226,24.8904,99
"1161",8230,6,"FFb6",28,0.0112,99
"1162",8231,7,"FFb6",28028,11.2112,99
"1163",8233,1,"FFc1",971537,388.6148,99
"1164",8234,2,"FFc1",252270,100.908,99
"1165",8235,3,"FFc1",3822,1.5288,99
"1166",8236,4,"FFc1",22760,9.104,99
"1167",8237,5,"FFc1",869561,347.8244,99
"1168",8238,6,"FFc1",495,0.198,99
"1169",8239,7,"FFc1",52467,20.9868,99
"1170",8241,1,"FFd1",2766688,1106.6752,99
"1171",8242,2,"FFd1",304049,121.6196,99
"1172",8243,3,"FFd1",1,4e-04,99
"1173",8244,4,"FFd1",1086,0.4344,99
"1174",8245,5,"FFd1",176197,70.4788,99
"1175",8246,6,"FFd1",4418,1.7672,99
"1176",8247,7,"FFd1",3,0.0012,99
"1177",8249,1,"FFd10",74440,29.776,99
"1178",8250,2,"FFd10",20923,8.3692,99
"1179",8251,3,"FFd10",315,0.126,99
"1180",8252,4,"FFd10",24033,9.6132,99
"1181",8253,5,"FFd10",13419,5.3676,99
"1182",8254,6,"FFd10",61,0.0244,99
"1183",8255,7,"FFd10",246006,98.4024,99
"1184",8257,1,"FFd11",150047,60.0188,99
