"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"229","Gh15",0.00303661898608756,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00303661898608756,1,1,1
"230","Gh2",0.00493566603649093,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00493566603649093,1,1,1
"231","Gh3",0.00113660221680322,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00113660221680322,1,1,1
"232","Gh4",0.00171265926440242,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00171265926440242,1,1,1
"233","Gh5",0.00105961852180888,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00105961852180888,1,1,1
"234","Gh6",0.00372979568464821,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00372979568464821,1,1,1
"235","Gh7",0.00318688745252091,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00318688745252091,1,1,1
"236","Gh8",0.0156780199241503,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0156780199241503,1,1,1
"237","Gh9",0.0000793669158144647,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000793669158144647,1,1,1
"238","Gm1",0.00590088235260662,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00590088235260662,1,1,1
"239","Gm10",0.0601540215525337,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0601540215525337,1,1,1
"240","Gm11",0.0267181252326953,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0267181252326953,1,1,1
"241","Gm12",0.0269354442467744,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0269354442467744,1,1,1
"242","Gm13",0.00479847333787464,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00479847333787464,1,1,1
"243","Gm14",0.0239478333096732,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0239478333096732,1,1,1
"244","Gm15",0.0494261119665273,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0494261119665273,1,1,1
"245","Gm16",0.0270357971951907,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0270357971951907,1,1,1
"246","Gm17",0.0183134442986147,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0183134442986147,1,1,1
"247","Gm19",0.0347866081994509,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0347866081994509,1,1,1
"248","Gm2",0.0015464872828454,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0015464872828454,1,1,1
"249","Gm21",0.0118499950866774,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0118499950866774,1,1,1
"250","Gm22",0.0426054997926643,1,1,1,NA,0,0,0,0.00908982464511511,1,1,1,NA,0,0,0,0.0426054997926643,1,1,1
"251","Gm23",0.0354583680579868,1,1,1,NA,0,0,0,0.0160397627334405,1,1,1,NA,0,0,0,0.0354583680579868,1,1,1
