"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"229","5","AT43","0",21014
"230","6","AT43","0",23
"231","7","AT43","0",95
"232","NaN","AT43","0",0
"233","1","AT44","0",141674
"234","2","AT44","0",48276
"235","3","AT44","0",251
"236","4","AT44","0",182338
"237","5","AT44","0",16380
"238","6","AT44","0",934
"239","7","AT44","0",84
"240","NaN","AT44","0",0
"241","1","AT45","0",975607
"242","2","AT45","0",188109
"243","3","AT45","0",923
"244","4","AT45","0",16878
"245","5","AT45","0",448281
"246","6","AT45","0",154
"247","7","AT45","0",1455
"248","NaN","AT45","0",0
"249","1","AT46","0",1379270
"250","2","AT46","0",16102
"251","3","AT46","0",3385
"252","4","AT46","0",10170
"253","5","AT46","0",19240
"254","6","AT46","0",433
"255","7","AT46","0",60
"256","NaN","AT46","0",0
"257","1","AT47","0",2173773
"258","2","AT47","0",22398
"259","3","AT47","0",2440
"260","4","AT47","0",14572
"261","5","AT47","0",21175
"262","6","AT47","0",185
"263","7","AT47","0",0
"264","NaN","AT47","0",0
"265","1","AT48","0",25155
"266","2","AT48","0",1651
"267","3","AT48","0",9
"268","4","AT48","0",14515
"269","5","AT48","0",5142
"270","6","AT48","0",0
"271","7","AT48","0",0
"272","NaN","AT48","0",0
"273","1","AT49","0",13446135
"274","2","AT49","0",102992
"275","3","AT49","0",54941
"276","4","AT49","0",57300
"277","5","AT49","0",87814
"278","6","AT49","0",1073
"279","7","AT49","0",387
"280","NaN","AT49","0",0
"281","1","AT50","0",1077894
"282","2","AT50","0",43925
"283","3","AT50","0",1587
"284","4","AT50","0",44498
"285","5","AT50","0",61132
"286","6","AT50","0",241
"287","7","AT50","0",488
"288","NaN","AT50","0",0
"289","1","AT51","0",3490944
"290","2","AT51","0",97763
"291","3","AT51","0",7247
"292","4","AT51","0",180349
"293","5","AT51","0",369253
"294","6","AT51","0",5157
"295","7","AT51","0",5155
"296","NaN","AT51","0",0
"297","1","AT52","0",61922
"298","2","AT52","0",9070
"299","3","AT52","0",0
"300","4","AT52","0",63
"301","5","AT52","0",22785
"302","6","AT52","0",0
"303","7","AT52","0",0
"304","NaN","AT52","0",0
"305","1","AT53","0",35963
"306","2","AT53","0",4868
"307","3","AT53","0",21
"308","4","AT53","0",14533
"309","5","AT53","0",1442
"310","6","AT53","0",0
"311","7","AT53","0",5119
"312","NaN","AT53","0",0
"313","1","AT54","0",352708
"314","2","AT54","0",2334
"315","3","AT54","0",834
"316","4","AT54","0",90
"317","5","AT54","0",3403
"318","6","AT54","0",0
"319","7","AT54","0",10
"320","NaN","AT54","0",0
"321","1","AT55","0",1851738
"322","2","AT55","0",21564
"323","3","AT55","0",1286
"324","4","AT55","0",5072
"325","5","AT55","0",18225
"326","6","AT55","0",244
"327","7","AT55","0",60
"328","NaN","AT55","0",0
"329","1","AT56","0",1044417
