"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch3","niaps_ch4","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sumrem_sa","niaps_ext30","niaps_ext50","niaps_ext70","niaps_ext90","D3_niaps","EOO","AOO","B1i_niaps","B2i_niaps"
"97","FFd6",1.1584,1.0024,0.7968,0.1404,1.302,1.4084,1.2128,1.4796,0.504,3.278,51.4168,0.238886900779512,0.216357299559677,0.181364845731356,0.125919932784615,"LC",1823.977395,9,"LC","LC"
"98","FFd7",0.5688,2.8852,1.1204,3.2644,1.7504,1.3316,1.8004,2.4056,1.4584,3.5364,119.5484,0.168313419502059,0.163555513917376,0.130049419314688,0.0769629706461985,"LC",1247.806155,17,"LC","LC"
"99","FFd8",1.2688,0.2592,0.028,0.006,0.9488,0.346,0.308,0.004,0.066,0.5388,43.4192,0.0869108597118325,0.0576887644175848,0.0510741791649777,0.0211150827283782,"LC",858.792765,7,"LC","LC"
"100","FFd9",1.3816,2.398,2.1584,4.2676,1.5688,1.868,6.0916,3.6656,0.48,6.0576,264.1432,0.113337008107723,0.108106511922321,0.0908567776872545,0.0616892655196121,"LC",2815.361154,27,"LC","LC"
"101","FFf1",3.626,5.424,2.0232,6.4328,5.544,2.72,7.172,9.1668,4.0372,25.4008,233.5072,0.306400830466898,0.290872401364926,0.258979594633485,0.196040207753765,"LC",3002.170287,24,"LC","LC"
"102","FFf2",0.202,0.266,0.3168,0.0752,0.5988,0.148,1.2628,0.046,0.3072,0.4136,19.376,0.187675474814203,0.177250206440958,0.147171758876961,0.104748142031379,"LC",108.751919,3,"LC","LC"
"103","FFg1",0.084,0,0,0,0,0,0.0208,0,0,0,64.0224,0.00163692707552357,0.00032488628979857,0.00032488628979857,0.00032488628979857,"LC",652.4491809,7,"LC","LC"
"104","FFg2",10.628,7.1884,4.6856,2.86,3.6052,4.028,7.1244,7.0896,5.9652,21.76,279.5672,0.268037166019476,0.230021261435533,0.187548467774474,0.150014737065006,"LC",2695.816694,26,"LC","LC"
"105","FFg3",0.0608,0.0212,0,0.1988,0.0596,1.658,1.0188,0.0368,0,0.154,31.2132,0.1027770302308,0.100829136391014,0.100149936565299,0.0387528353388951,"LC",417.5633165,5,"LC","LC"
"106","FFg4",0.46,0.5,0,0.0236,0.0036,0,0.004,0,0.0292,1.5924,14.1344,0.184853973285035,0.152309259678515,0.116934570975775,0.115010187910346,"LC",161.5855108,3,"LC","LC"
"107","FFg5",2.7024,3.0588,2.0052,4.486,5.0076,4.6896,6.3116,16.9512,5.0624,19.9504,177.678,0.395238577651707,0.380029041299429,0.351528045115321,0.271702743164601,"LC",913.7123884,15,"CR","EN"
"108","FFh1",0.3932,0.4412,0.0972,0.4804,0.3216,0.3916,0.1256,0.3752,0.0092,0.3804,198.7996,0.0151690446057236,0.0131911734228842,0.0104829184766971,0.00447888225127214,"LC",1717.98276,19,"LC","LC"
"109","FFh10",8.7188,4.2592,4.0644,3.2224,0.0056,1.1428,1.1752,0.732,0.4048,3.1116,277.9484,0.0965531731789066,0.0651847609124571,0.0352381952909245,0.0195129743506349,"LC",2892.61647,29,"LC","LC"
"110","FFh11",0,0.0016,0,0.002,0,0.04,0,0.708,0.0884,0.0096,5.3668,0.158306625922337,0.158306625922337,0.158008496683312,0.150182604158903,"LC",20.38625867,1,"LC","LC"
"111","FFh3",0.328,0.5464,0.706,0.138,0.002,0.0224,0.0652,0.564,0,0.5488,63.6852,0.0458630890693599,0.0407127558679254,0.0210472762902527,0.0184972332661278,"LC",942.3442757,12,"LC","LC"
"112","FFh4",2.7712,1.9928,4.734,0.7852,1.428,0.744,2.1208,2.1984,0.928,7.3352,203.6124,0.12296697057743,0.109356797523137,0.076319516886005,0.0617958434751518,"LC",3739.40539,26,"LC","LC"
"113","FFh5",0.1616,0.2908,0.1252,0.0652,0.0004,0.4876,0.8716,0.6992,0.074,1.7516,35.8028,0.126448210754466,0.121934597294066,0.110315394326701,0.0948640888422135,"LC",2187.982602,9,"LC","LC"
"114","FFh6",1.0732,2.1036,0.8812,1.6036,1.8236,1.4912,1.314,4.0176,1.2424,6.6504,67.108,0.330821958633844,0.314829826548251,0.270352267985933,0.197061453179949,"LC",1262.866847,12,"LC","LC"
"115","FFh7",1.8916,2.066,3.808,1.2184,0.1192,0.4588,1.692,1.7724,0.4064,5.4004,148.176,0.12710020516143,0.114334305150632,0.0746922578555232,0.062568837058633,"LC",1052.033663,13,"LC","LC"
"116","FFh8",0.038,0.0728,0,0.2024,0.0528,0.0144,0.226,0.9788,0,1.5428,144.4432,0.0216555711864595,0.0213924919968541,0.0208884876546629,0.0190220100357788,"LC",2548.91743,15,"LC","LC"
"117","FFh9",10.6208,7.21,2.7772,14.7944,7.9124,4.32,9.728,12.544,3.2664,45.0696,243.7668,0.485065234478198,0.441495724602366,0.40052542019668,0.289653882317034,"LC",5140.617255,29,"EN","VU"
"118","FFl1",3.4528,10.1564,3.6196,12.4656,7.0584,2.6,20.918,11.462,4.874,23.6784,257.4524,0.389529093533407,0.376117682336618,0.322608761852676,0.236674429914035,"LC",1941.593189,19,"CR","EN"
"119","FFl2",4.9864,20.6108,5.334,24.6216,16.6696,13.7148,36.9852,10.9508,1.572,16.216,661.6104,0.229230374855051,0.221693613038731,0.182478993679664,0.0993394299726848,"LC",1679.06417,21,"LC","LC"
