"","nlc2022_7class","T_MAPCODE","sum","n"
"229","5","AT43","0",20943
"230","6","AT43","0",23
"231","7","AT43","0",95
"232","NaN","AT43","0",0
"233","1","AT44","0",140138
"234","2","AT44","0",47981
"235","3","AT44","0",248
"236","4","AT44","0",182292
"237","5","AT44","0",16357
"238","6","AT44","0",934
"239","7","AT44","0",82
"240","NaN","AT44","0",0
"241","1","AT45","0",968958
"242","2","AT45","0",186419
"243","3","AT45","0",921
"244","4","AT45","0",16866
"245","5","AT45","0",448224
"246","6","AT45","0",154
"247","7","AT45","0",1332
"248","NaN","AT45","0",0
"249","1","AT46","0",1376718
"250","2","AT46","0",16017
"251","3","AT46","0",3379
"252","4","AT46","0",10158
"253","5","AT46","0",19233
"254","6","AT46","0",433
"255","7","AT46","0",59
"256","NaN","AT46","0",0
"257","1","AT47","0",2170117
"258","2","AT47","0",21891
"259","3","AT47","0",2428
"260","4","AT47","0",14564
"261","5","AT47","0",21175
"262","6","AT47","0",185
"263","7","AT47","0",0
"264","NaN","AT47","0",0
"265","1","AT48","0",11862
"266","2","AT48","0",1287
"267","3","AT48","0",9
"268","4","AT48","0",14408
"269","5","AT48","0",5107
"270","6","AT48","0",0
"271","7","AT48","0",0
"272","NaN","AT48","0",0
"273","1","AT49","0",13424485
"274","2","AT49","0",90568
"275","3","AT49","0",54411
"276","4","AT49","0",57189
"277","5","AT49","0",87642
"278","6","AT49","0",1073
"279","7","AT49","0",333
"280","NaN","AT49","0",0
"281","1","AT50","0",1063800
"282","2","AT50","0",43444
"283","3","AT50","0",1586
"284","4","AT50","0",44459
"285","5","AT50","0",61068
"286","6","AT50","0",241
"287","7","AT50","0",427
"288","NaN","AT50","0",0
"289","1","AT51","0",3466622
"290","2","AT51","0",96061
"291","3","AT51","0",7225
"292","4","AT51","0",180222
"293","5","AT51","0",369053
"294","6","AT51","0",5141
"295","7","AT51","0",4065
"296","NaN","AT51","0",0
"297","1","AT52","0",57481
"298","2","AT52","0",8670
"299","3","AT52","0",0
"300","4","AT52","0",63
