"","LC","T_MAPCODE","n","km2","um"
"138",4,"Gs8",67,0.0268,8
"139",5,"Gs8",975,0.39,8
"140",7,"Gs8",51721,20.6884,8
"141",1,"Gs9",20855,8.342,8
"142",2,"Gs9",16378,6.5512,8
"143",3,"Gs9",59,0.0236,8
"144",4,"Gs9",4977,1.9908,8
"145",5,"Gs9",2918,1.1672,8
"146",7,"Gs9",338851,135.5404,8
"147",1,"SVs3",2918,1.1672,8
"148",2,"SVs3",484,0.1936,8
"149",3,"SVs3",3,0.0012,8
"150",4,"SVs3",1097,0.4388,8
"151",5,"SVs3",1074,0.4296,8
"152",7,"SVs3",1188,0.4752,8
"153",1,"SVs5",610,0.244,8
"154",2,"SVs5",2526,1.0104,8
"155",3,"SVs5",9,0.0036,8
"156",4,"SVs5",589,0.2356,8
"157",5,"SVs5",1915,0.766,8
"158",7,"SVs5",67130,26.852,8
"159",1,"SVs6",5054,2.0216,8
"160",2,"SVs6",946,0.3784,8
"161",3,"SVs6",11,0.0044,8
"162",4,"SVs6",593,0.2372,8
"163",5,"SVs6",169,0.0676,8
"164",7,"SVs6",233,0.0932,8
"165",1,"AT15",36437,14.5748,99
"166",2,"AT15",57,0.0228,99
"167",3,"AT15",5,0.002,99
"168",4,"AT15",3,0.0012,99
"169",1,"AT16",127912,51.1648,99
"170",2,"AT16",3804,1.5216,99
"171",3,"AT16",167,0.0668,99
"172",4,"AT16",216,0.0864,99
"173",5,"AT16",950,0.38,99
"174",6,"AT16",1374,0.5496,99
"175",1,"AT17",1441850,576.74,99
"176",2,"AT17",119096,47.6384,99
"177",3,"AT17",1174,0.4696,99
"178",4,"AT17",12945,5.178,99
"179",5,"AT17",243145,97.258,99
"180",6,"AT17",226,0.0904,99
"181",7,"AT17",4571,1.8284,99
"182",1,"AT18",2586776,1034.7104,99
"183",2,"AT18",116889,46.7556,99
"184",3,"AT18",1037,0.4148,99
"185",4,"AT18",5308,2.1232,99
"186",5,"AT18",226716,90.6864,99
"187",6,"AT18",36,0.0144,99
"188",7,"AT18",2316,0.9264,99
"189",1,"AT19",2654566,1061.8264,99
"190",2,"AT19",17099,6.8396,99
"191",3,"AT19",4752,1.9008,99
"192",4,"AT19",3952,1.5808,99
"193",5,"AT19",14251,5.7004,99
"194",6,"AT19",33,0.0132,99
"195",7,"AT19",15,0.006,99
"196",1,"AT20",50004,20.0016,99
"197",2,"AT20",5612,2.2448,99
"198",3,"AT20",223,0.0892,99
"199",4,"AT20",31972,12.7888,99
"200",6,"AT20",975,0.39,99
"201",7,"AT20",5,0.002,99
"202",1,"AT21",777244,310.8976,99
"203",2,"AT21",44839,17.9356,99
"204",3,"AT21",22644,9.0576,99
"205",4,"AT21",45993,18.3972,99
"206",5,"AT21",74537,29.8148,99
"207",6,"AT21",187,0.0748,99
"208",7,"AT21",323,0.1292,99
"209",1,"AT22",230992,92.3968,99
"210",2,"AT22",82632,33.0528,99
"211",3,"AT22",8990,3.596,99
"212",4,"AT22",105798,42.3192,99
"213",5,"AT22",109896,43.9584,99
"214",6,"AT22",292,0.1168,99
"215",7,"AT22",120,0.048,99
"216",1,"AT23",670699,268.2796,99
"217",2,"AT23",56327,22.5308,99
"218",3,"AT23",309,0.1236,99
"219",4,"AT23",22796,9.1184,99
"220",5,"AT23",27579,11.0316,99
"221",6,"AT23",12,0.0048,99
"222",7,"AT23",260,0.104,99
"223",1,"AT24",6495116,2598.0464,99
"224",2,"AT24",422191,168.8764,99
"225",3,"AT24",5082,2.0328,99
"226",4,"AT24",137061,54.8244,99
"227",5,"AT24",377305,150.922,99
"228",6,"AT24",133,0.0532,99
"229",7,"AT24",3449,1.3796,99
"230",1,"AT25",5273051,2109.2204,99
"231",2,"AT25",22041,8.8164,99
"232",3,"AT25",3690,1.476,99
"233",4,"AT25",15690,6.276,99
"234",5,"AT25",7689,3.0756,99
"235",6,"AT25",253,0.1012,99
"236",1,"AT26",75435,30.174,99
"237",2,"AT26",5641,2.2564,99
"238",3,"AT26",299,0.1196,99
"239",4,"AT26",721,0.2884,99
"240",5,"AT26",19110,7.644,99
"241",1,"AT27",3077134,1230.8536,99
"242",2,"AT27",8806,3.5224,99
"243",3,"AT27",720,0.288,99
"244",4,"AT27",5896,2.3584,99
"245",5,"AT27",6448,2.5792,99
"246",6,"AT27",942,0.3768,99
"247",7,"AT27",2,8e-04,99
"248",1,"AT28",2270580,908.232,99
"249",2,"AT28",148087,59.2348,99
"250",3,"AT28",2634,1.0536,99
"251",4,"AT28",60573,24.2292,99
"252",5,"AT28",89760,35.904,99
"253",6,"AT28",65,0.026,99
"254",7,"AT28",4577,1.8308,99
"255",1,"AT29",1920140,768.056,99
"256",2,"AT29",14513,5.8052,99
"257",3,"AT29",1683,0.6732,99
"258",4,"AT29",13698,5.4792,99
"259",5,"AT29",10564,4.2256,99
"260",6,"AT29",937,0.3748,99
"261",1,"AT30",1563314,625.3256,99
"262",2,"AT30",27429,10.9716,99
"263",3,"AT30",5860,2.344,99
"264",4,"AT30",21433,8.5732,99
"265",5,"AT30",67044,26.8176,99
"266",6,"AT30",44,0.0176,99
"267",7,"AT30",22,0.0088,99
"268",1,"AT31",525490,210.196,99
"269",2,"AT31",55195,22.078,99
"270",3,"AT31",95,0.038,99
"271",4,"AT31",4060,1.624,99
"272",5,"AT31",16562,6.6248,99
"273",7,"AT31",602,0.2408,99
"274",1,"AT32",8626663,3450.6652,99
"275",2,"AT32",112279,44.9116,99
"276",3,"AT32",15245,6.098,99
"277",4,"AT32",64523,25.8092,99
"278",5,"AT32",165079,66.0316,99
"279",6,"AT32",254,0.1016,99
"280",7,"AT32",6417,2.5668,99
"281",1,"AT33",1210176,484.0704,99
"282",2,"AT33",7098,2.8392,99
