"","LC","T_MAPCODE","n","km2","um"
"691",6,"FFa1",23,0.0092,99
"692",7,"FFa1",375,0.15,99
"693",1,"FFa2",422370,168.948,99
"694",2,"FFa2",166399,66.5596,99
"695",3,"FFa2",11637,4.6548,99
"696",4,"FFa2",48693,19.4772,99
"697",5,"FFa2",586775,234.71,99
"698",6,"FFa2",694,0.2776,99
"699",7,"FFa2",17556,7.0224,99
"700",1,"FFa3",342499,136.9996,99
"701",2,"FFa3",189580,75.832,99
"702",3,"FFa3",49394,19.7576,99
"703",4,"FFa3",92628,37.0512,99
"704",5,"FFa3",490165,196.066,99
"705",6,"FFa3",316,0.1264,99
"706",7,"FFa3",28303,11.3212,99
"707",1,"FFa4",12805,5.122,99
"708",2,"FFa4",14544,5.8176,99
"709",3,"FFa4",573,0.2292,99
"710",4,"FFa4",48928,19.5712,99
"711",5,"FFa4",12290,4.916,99
"712",6,"FFa4",2,8e-04,99
"713",7,"FFa4",456,0.1824,99
"714",1,"FFb1",645563,258.2252,99
"715",2,"FFb1",20053,8.0212,99
"716",3,"FFb1",2698,1.0792,99
"717",4,"FFb1",1262,0.5048,99
"718",5,"FFb1",26917,10.7668,99
"719",6,"FFb1",20,0.008,99
"720",7,"FFb1",1159,0.4636,99
"721",1,"FFb2",320517,128.2068,99
"722",2,"FFb2",8616,3.4464,99
"723",3,"FFb2",147,0.0588,99
"724",4,"FFb2",119,0.0476,99
"725",5,"FFb2",2044,0.8176,99
"726",7,"FFb2",4884,1.9536,99
"727",1,"FFb3",244267,97.7068,99
"728",2,"FFb3",130,0.052,99
"729",3,"FFb3",31,0.0124,99
"730",4,"FFb3",69,0.0276,99
"731",5,"FFb3",145,0.058,99
"732",7,"FFb3",52,0.0208,99
"733",1,"FFb4",135142,54.0568,99
"734",2,"FFb4",4973,1.9892,99
"735",3,"FFb4",24,0.0096,99
"736",4,"FFb4",244,0.0976,99
"737",5,"FFb4",11040,4.416,99
"738",7,"FFb4",3483,1.3932,99
"739",1,"FFb5",239564,95.8256,99
"740",2,"FFb5",12627,5.0508,99
"741",3,"FFb5",293,0.1172,99
"742",4,"FFb5",611,0.2444,99
"743",5,"FFb5",17419,6.9676,99
"744",6,"FFb5",9,0.0036,99
"745",7,"FFb5",451,0.1804,99
"746",1,"FFb6",73170,29.268,99
"747",2,"FFb6",23760,9.504,99
"748",3,"FFb6",1566,0.6264,99
"749",4,"FFb6",6333,2.5332,99
"750",5,"FFb6",62226,24.8904,99
"751",6,"FFb6",28,0.0112,99
"752",7,"FFb6",28028,11.2112,99
"753",1,"FFc1",971537,388.6148,99
"754",2,"FFc1",252270,100.908,99
"755",3,"FFc1",3822,1.5288,99
"756",4,"FFc1",22760,9.104,99
"757",5,"FFc1",869561,347.8244,99
"758",6,"FFc1",495,0.198,99
"759",7,"FFc1",52467,20.9868,99
"760",1,"FFd1",2766688,1106.6752,99
"761",2,"FFd1",304049,121.6196,99
"762",3,"FFd1",1,4e-04,99
"763",4,"FFd1",1086,0.4344,99
"764",5,"FFd1",176197,70.4788,99
"765",6,"FFd1",4418,1.7672,99
"766",7,"FFd1",3,0.0012,99
"767",1,"FFd10",74440,29.776,99
"768",2,"FFd10",20923,8.3692,99
"769",3,"FFd10",315,0.126,99
"770",4,"FFd10",24033,9.6132,99
"771",5,"FFd10",13419,5.3676,99
"772",6,"FFd10",61,0.0244,99
"773",7,"FFd10",246006,98.4024,99
"774",1,"FFd11",150047,60.0188,99
"775",2,"FFd11",4747,1.8988,99
"776",3,"FFd11",167,0.0668,99
"777",4,"FFd11",3703,1.4812,99
"778",5,"FFd11",31998,12.7992,99
"779",6,"FFd11",605,0.242,99
"780",7,"FFd11",258,0.1032,99
"781",1,"FFd2",1892389,756.9556,99
"782",2,"FFd2",862315,344.926,99
"783",3,"FFd2",3583,1.4332,99
"784",4,"FFd2",24081,9.6324,99
"785",5,"FFd2",2350146,940.0584,99
"786",6,"FFd2",1042,0.4168,99
"787",7,"FFd2",5596,2.2384,99
"788",1,"FFd3",1595742,638.2968,99
"789",2,"FFd3",393821,157.5284,99
"790",3,"FFd3",2363,0.9452,99
"791",4,"FFd3",19773,7.9092,99
"792",5,"FFd3",510094,204.0376,99
"793",6,"FFd3",274,0.1096,99
"794",7,"FFd3",1914,0.7656,99
"795",1,"FFd4",827110,330.844,99
"796",2,"FFd4",373813,149.5252,99
"797",3,"FFd4",2545,1.018,99
"798",4,"FFd4",56210,22.484,99
"799",5,"FFd4",450774,180.3096,99
"800",6,"FFd4",3817,1.5268,99
"801",7,"FFd4",8340,3.336,99
"802",1,"FFd5",222165,88.866,99
"803",2,"FFd5",130246,52.0984,99
"804",3,"FFd5",4238,1.6952,99
"805",4,"FFd5",864579,345.8316,99
"806",5,"FFd5",158153,63.2612,99
"807",6,"FFd5",3821,1.5284,99
"808",7,"FFd5",9132,3.6528,99
"809",1,"FFd6",128542,51.4168,99
"810",2,"FFd6",13733,5.4932,99
"811",3,"FFd6",263,0.1052,99
"812",4,"FFd6",74879,29.9516,99
"813",5,"FFd6",1582,0.6328,99
"814",6,"FFd6",158,0.0632,99
"815",7,"FFd6",2295,0.918,99
"816",1,"FFd7",298871,119.5484,99
"817",2,"FFd7",56756,22.7024,99
"818",3,"FFd7",926,0.3704,99
"819",4,"FFd7",5295,2.118,99
"820",5,"FFd7",255391,102.1564,99
"821",6,"FFd7",173,0.0692,99
"822",7,"FFd7",1200,0.48,99
"823",1,"FFd8",108548,43.4192,99
"824",2,"FFd8",21046,8.4184,99
"825",3,"FFd8",89194,35.6776,99
"826",4,"FFd8",1826,0.7304,99
"827",5,"FFd8",21864,8.7456,99
"828",6,"FFd8",1342,0.5368,99
"829",7,"FFd8",395,0.158,99
"830",1,"FFd9",660358,264.1432,99
"831",2,"FFd9",201632,80.6528,99
"832",3,"FFd9",165,0.066,99
"833",4,"FFd9",14027,5.6108,99
"834",5,"FFd9",408666,163.4664,99
"835",6,"FFd9",306,0.1224,99
"836",7,"FFd9",8071,3.2284,99
"837",1,"FFf1",583768,233.5072,99
"838",2,"FFf1",245878,98.3512,99
"839",3,"FFf1",5051,2.0204,99
"840",4,"FFf1",22928,9.1712,99
"841",5,"FFf1",863983,345.5932,99
"842",6,"FFf1",566,0.2264,99
"843",7,"FFf1",12830,5.132,99
"844",1,"FFf2",48440,19.376,99
"845",2,"FFf2",21927,8.7708,99
"846",3,"FFf2",111,0.0444,99
"847",4,"FFf2",377,0.1508,99
"848",5,"FFf2",30125,12.05,99
"849",6,"FFf2",8,0.0032,99
"850",7,"FFf2",482,0.1928,99
"851",1,"FFg1",160056,64.0224,99
"852",2,"FFg1",314,0.1256,99
"853",4,"FFg1",413,0.1652,99
"854",5,"FFg1",1261,0.5044,99
"855",1,"FFg2",698918,279.5672,99
"856",2,"FFg2",180694,72.2776,99
"857",3,"FFg2",21360,8.544,99
"858",4,"FFg2",96245,38.498,99
"859",5,"FFg2",212437,84.9748,99
"860",6,"FFg2",258,0.1032,99
"861",7,"FFg2",100061,40.0244,99
"862",1,"FFg3",78033,31.2132,99
"863",2,"FFg3",21125,8.45,99
"864",3,"FFg3",211,0.0844,99
"865",4,"FFg3",102347,40.9388,99
"866",5,"FFg3",10279,4.1116,99
"867",7,"FFg3",17494,6.9976,99
"868",1,"FFg4",35336,14.1344,99
"869",2,"FFg4",2802,1.1208,99
"870",3,"FFg4",91,0.0364,99
"871",4,"FFg4",6,0.0024,99
"872",5,"FFg4",4100,1.64,99
"873",1,"FFg5",444195,177.678,99
"874",2,"FFg5",153651,61.4604,99
"875",3,"FFg5",4865,1.946,99
"876",4,"FFg5",127873,51.1492,99
"877",5,"FFg5",471628,188.6512,99
"878",6,"FFg5",1661,0.6644,99
"879",7,"FFg5",41683,16.6732,99
"880",1,"FFh1",496999,198.7996,99
"881",2,"FFh1",159879,63.9516,99
"882",3,"FFh1",28868,11.5472,99
"883",4,"FFh1",8962,3.5848,99
"884",5,"FFh1",369117,147.6468,99
"885",6,"FFh1",81,0.0324,99
"886",7,"FFh1",6037,2.4148,99
"887",1,"FFh10",694871,277.9484,99
"888",2,"FFh10",6797,2.7188,99
"889",3,"FFh10",49,0.0196,99
"890",4,"FFh10",447,0.1788,99
"891",5,"FFh10",5170,2.068,99
"892",7,"FFh10",835,0.334,99
"893",1,"FFh11",13417,5.3668,99
"894",2,"FFh11",3920,1.568,99
"895",3,"FFh11",35,0.014,99
"896",4,"FFh11",11968,4.7872,99
"897",6,"FFh11",1,4e-04,99
"898",7,"FFh11",2232,0.8928,99
"899",1,"FFh2",253202,101.2808,99
"900",2,"FFh2",8395,3.358,99
"901",3,"FFh2",148,0.0592,99
"902",4,"FFh2",101,0.0404,99
"903",5,"FFh2",4484,1.7936,99
"904",6,"FFh2",5,0.002,99
"905",1,"FFh3",159213,63.6852,99
"906",2,"FFh3",17914,7.1656,99
"907",3,"FFh3",576,0.2304,99
"908",4,"FFh3",569,0.2276,99
"909",5,"FFh3",9102,3.6408,99
"910",6,"FFh3",52,0.0208,99
"911",7,"FFh3",391,0.1564,99
"912",1,"FFh4",509031,203.6124,99
"913",2,"FFh4",84934,33.9736,99
"914",3,"FFh4",6486,2.5944,99
"915",4,"FFh4",7450,2.98,99
"916",5,"FFh4",173761,69.5044,99
"917",6,"FFh4",250,0.1,99
"918",7,"FFh4",10278,4.1112,99
"919",1,"FFh5",89507,35.8028,99
"920",2,"FFh5",41681,16.6724,99
"921",3,"FFh5",2144,0.8576,99
"922",4,"FFh5",23336,9.3344,99
"923",5,"FFh5",27664,11.0656,99
"924",6,"FFh5",3,0.0012,99
"925",7,"FFh5",25676,10.2704,99
"926",1,"FFh6",167770,67.108,99
"927",2,"FFh6",103231,41.2924,99
"928",3,"FFh6",85209,34.0836,99
"929",4,"FFh6",16554,6.6216,99
"930",5,"FFh6",288371,115.3484,99
"931",6,"FFh6",191,0.0764,99
"932",7,"FFh6",37403,14.9612,99
"933",1,"FFh7",370440,148.176,99
"934",2,"FFh7",49425,19.77,99
"935",3,"FFh7",1734,0.6936,99
"936",4,"FFh7",10497,4.1988,99
"937",5,"FFh7",229143,91.6572,99
"938",6,"FFh7",8,0.0032,99
"939",7,"FFh7",5298,2.1192,99
"940",1,"FFh8",361108,144.4432,99
"941",2,"FFh8",60045,24.018,99
"942",3,"FFh8",1083,0.4332,99
"943",4,"FFh8",1610,0.644,99
"944",5,"FFh8",37350,14.94,99
"945",6,"FFh8",16,0.0064,99
"946",7,"FFh8",5707,2.2828,99
"947",1,"FFh9",609417,243.7668,99
"948",2,"FFh9",153367,61.3468,99
"949",3,"FFh9",6374,2.5496,99
"950",4,"FFh9",94665,37.866,99
"951",5,"FFh9",334359,133.7436,99
"952",6,"FFh9",181,0.0724,99
"953",7,"FFh9",210735,84.294,99
"954",1,"FFl1",643631,257.4524,99
"955",2,"FFl1",24611,9.8444,99
"956",3,"FFl1",158,0.0632,99
"957",4,"FFl1",20955,8.382,99
"958",5,"FFl1",27898,11.1592,99
"959",6,"FFl1",63,0.0252,99
"960",7,"FFl1",81,0.0324,99
"961",1,"FFl2",1654026,661.6104,99
"962",2,"FFl2",30116,12.0464,99
"963",3,"FFl2",452,0.1808,99
"964",4,"FFl2",10177,4.0708,99
"965",5,"FFl2",38058,15.2232,99
"966",6,"FFl2",2579,1.0316,99
"967",7,"FFl2",234,0.0936,99
"968",1,"FFl3",1555911,622.3644,99
"969",2,"FFl3",89655,35.862,99
"970",3,"FFl3",6,0.0024,99
"971",4,"FFl3",6414,2.5656,99
"972",5,"FFl3",325362,130.1448,99
"973",6,"FFl3",348,0.1392,99
"974",7,"FFl3",1488,0.5952,99
"975",1,"FFq1",122560,49.024,99
"976",1,"FFq2",4043526,1617.4104,99
"977",2,"FFq2",42566,17.0264,99
"978",3,"FFq2",1239,0.4956,99
"979",4,"FFq2",2010,0.804,99
"980",5,"FFq2",26073,10.4292,99
"981",6,"FFq2",54,0.0216,99
"982",1,"FFq3",3124510,1249.804,99
"983",2,"FFq3",31273,12.5092,99
"984",3,"FFq3",519,0.2076,99
"985",4,"FFq3",1425,0.57,99
"986",5,"FFq3",12013,4.8052,99
"987",6,"FFq3",412,0.1648,99
"988",7,"FFq3",61,0.0244,99
"989",1,"FFq4",228302,91.3208,99
"990",2,"FFq4",5790,2.316,99
"991",3,"FFq4",747,0.2988,99
"992",4,"FFq4",1993,0.7972,99
"993",5,"FFq4",7433,2.9732,99
"994",6,"FFq4",350,0.14,99
"995",7,"FFq4",25,0.01,99
"996",1,"FFq5",970790,388.316,99
"997",2,"FFq5",916,0.3664,99
"998",3,"FFq5",78,0.0312,99
"999",4,"FFq5",210,0.084,99
"1000",5,"FFq5",33,0.0132,99
"1001",1,"FFq6",1671435,668.574,99
"1002",2,"FFq6",17545,7.018,99
"1003",3,"FFq6",231,0.0924,99
"1004",4,"FFq6",2174,0.8696,99
"1005",5,"FFq6",9496,3.7984,99
"1006",6,"FFq6",158,0.0632,99
"1007",7,"FFq6",7155,2.862,99
"1008",1,"FFs1",2001300,800.52,99
"1009",2,"FFs1",158004,63.2016,99
"1010",3,"FFs1",563,0.2252,99
"1011",4,"FFs1",3144,1.2576,99
"1012",5,"FFs1",369174,147.6696,99
"1013",6,"FFs1",6,0.0024,99
"1014",7,"FFs1",3188,1.2752,99
"1015",1,"FFs10",2521635,1008.654,99
"1016",2,"FFs10",46275,18.51,99
"1017",3,"FFs10",4984,1.9936,99
"1018",4,"FFs10",6250,2.5,99
"1019",5,"FFs10",21307,8.5228,99
"1020",6,"FFs10",169,0.0676,99
"1021",7,"FFs10",25936,10.3744,99
"1022",1,"FFs11",1908799,763.5196,99
"1023",2,"FFs11",184806,73.9224,99
"1024",3,"FFs11",17305,6.922,99
"1025",4,"FFs11",26097,10.4388,99
"1026",5,"FFs11",55204,22.0816,99
"1027",6,"FFs11",616,0.2464,99
"1028",7,"FFs11",92760,37.104,99
"1029",1,"FFs12",2624660,1049.864,99
"1030",2,"FFs12",167639,67.0556,99
"1031",3,"FFs12",1035,0.414,99
"1032",4,"FFs12",28501,11.4004,99
"1033",5,"FFs12",115897,46.3588,99
"1034",6,"FFs12",954,0.3816,99
"1035",7,"FFs12",9834,3.9336,99
"1036",1,"FFs13",1302190,520.876,99
"1037",2,"FFs13",11468,4.5872,99
"1038",3,"FFs13",241,0.0964,99
"1039",4,"FFs13",561,0.2244,99
"1040",5,"FFs13",14048,5.6192,99
"1041",6,"FFs13",231,0.0924,99
"1042",7,"FFs13",21,0.0084,99
"1043",1,"FFs14",832763,333.1052,99
"1044",2,"FFs14",18510,7.404,99
"1045",3,"FFs14",825,0.33,99
"1046",4,"FFs14",1099,0.4396,99
"1047",5,"FFs14",24345,9.738,99
"1048",6,"FFs14",603,0.2412,99
"1049",7,"FFs14",19062,7.6248,99
"1050",1,"FFs15",2265892,906.3568,99
"1051",2,"FFs15",90284,36.1136,99
"1052",3,"FFs15",1530,0.612,99
"1053",4,"FFs15",9126,3.6504,99
"1054",5,"FFs15",112719,45.0876,99
"1055",6,"FFs15",576,0.2304,99
"1056",7,"FFs15",3817,1.5268,99
"1057",1,"FFs16",2933280,1173.312,99
"1058",2,"FFs16",37104,14.8416,99
"1059",3,"FFs16",392,0.1568,99
"1060",4,"FFs16",2126,0.8504,99
"1061",5,"FFs16",17068,6.8272,99
"1062",6,"FFs16",38,0.0152,99
"1063",7,"FFs16",48299,19.3196,99
"1064",1,"FFs17",250740,100.296,99
"1065",2,"FFs17",9061,3.6244,99
"1066",3,"FFs17",121,0.0484,99
"1067",4,"FFs17",1059,0.4236,99
"1068",5,"FFs17",5635,2.254,99
"1069",6,"FFs17",199,0.0796,99
"1070",7,"FFs17",1802,0.7208,99
"1071",1,"FFs18",1830791,732.3164,99
"1072",2,"FFs18",142857,57.1428,99
"1073",3,"FFs18",1594,0.6376,99
"1074",4,"FFs18",4013,1.6052,99
"1075",5,"FFs18",201507,80.6028,99
"1076",6,"FFs18",35,0.014,99
"1077",7,"FFs18",16216,6.4864,99
"1078",1,"FFs19",2619324,1047.7296,99
"1079",2,"FFs19",312912,125.1648,99
"1080",3,"FFs19",1755,0.702,99
"1081",4,"FFs19",39402,15.7608,99
"1082",5,"FFs19",187289,74.9156,99
"1083",6,"FFs19",582,0.2328,99
"1084",7,"FFs19",766397,306.5588,99
"1085",1,"FFs2",2344445,937.778,99
"1086",2,"FFs2",248723,99.4892,99
"1087",3,"FFs2",3948,1.5792,99
"1088",4,"FFs2",15928,6.3712,99
"1089",5,"FFs2",740561,296.2244,99
"1090",6,"FFs2",448,0.1792,99
"1091",7,"FFs2",3814,1.5256,99
"1092",1,"FFs20",3919279,1567.7116,99
"1093",2,"FFs20",301847,120.7388,99
"1094",3,"FFs20",17530,7.012,99
"1095",4,"FFs20",60060,24.024,99
"1096",5,"FFs20",985406,394.1624,99
"1097",6,"FFs20",132,0.0528,99
"1098",7,"FFs20",461993,184.7972,99
"1099",1,"FFs21",795097,318.0388,99
"1100",2,"FFs21",362,0.1448,99
"1101",3,"FFs21",72,0.0288,99
"1102",4,"FFs21",62,0.0248,99
"1103",5,"FFs21",256,0.1024,99
"1104",1,"FFs22",963442,385.3768,99
"1105",2,"FFs22",6288,2.5152,99
"1106",3,"FFs22",10,0.004,99
"1107",4,"FFs22",166,0.0664,99
"1108",5,"FFs22",890,0.356,99
"1109",7,"FFs22",18,0.0072,99
"1110",1,"FFs23",2115270,846.108,99
"1111",2,"FFs23",9313,3.7252,99
"1112",3,"FFs23",415,0.166,99
"1113",4,"FFs23",906,0.3624,99
"1114",5,"FFs23",4567,1.8268,99
"1115",6,"FFs23",10,0.004,99
"1116",1,"FFs24",2705643,1082.2572,99
"1117",2,"FFs24",2963,1.1852,99
"1118",3,"FFs24",575,0.23,99
"1119",4,"FFs24",1049,0.4196,99
"1120",5,"FFs24",1571,0.6284,99
"1121",6,"FFs24",14,0.0056,99
"1122",7,"FFs24",156,0.0624,99
"1123",1,"FFs25",827263,330.9052,99
"1124",2,"FFs25",3756,1.5024,99
"1125",3,"FFs25",67,0.0268,99
"1126",4,"FFs25",152,0.0608,99
"1127",5,"FFs25",183,0.0732,99
"1128",1,"FFs26",717710,287.084,99
"1129",2,"FFs26",14579,5.8316,99
"1130",3,"FFs26",132,0.0528,99
"1131",4,"FFs26",429,0.1716,99
"1132",5,"FFs26",27312,10.9248,99
"1133",7,"FFs26",299,0.1196,99
"1134",1,"FFs27",5389939,2155.9756,99
"1135",2,"FFs27",187113,74.8452,99
"1136",3,"FFs27",649,0.2596,99
"1137",4,"FFs27",6090,2.436,99
"1138",5,"FFs27",175205,70.082,99
"1139",6,"FFs27",155,0.062,99
"1140",7,"FFs27",248202,99.2808,99
"1141",1,"FFs28",9241259,3696.5036,99
"1142",2,"FFs28",310505,124.202,99
"1143",3,"FFs28",3840,1.536,99
"1144",4,"FFs28",61730,24.692,99
"1145",5,"FFs28",465344,186.1376,99
"1146",6,"FFs28",395,0.158,99
"1147",7,"FFs28",47377,18.9508,99
"1148",1,"FFs29",329203,131.6812,99
"1149",2,"FFs29",78811,31.5244,99
"1150",3,"FFs29",362,0.1448,99
"1151",4,"FFs29",320937,128.3748,99
"1152",5,"FFs29",91834,36.7336,99
"1153",6,"FFs29",1381,0.5524,99
"1154",7,"FFs29",12963,5.1852,99
"1155",1,"FFs3",1173357,469.3428,99
"1156",2,"FFs3",39751,15.9004,99
"1157",3,"FFs3",192,0.0768,99
"1158",4,"FFs3",1340,0.536,99
"1159",5,"FFs3",29899,11.9596,99
"1160",7,"FFs3",1057,0.4228,99
"1161",1,"FFs30",93701,37.4804,99
"1162",2,"FFs30",26,0.0104,99
"1163",3,"FFs30",13,0.0052,99
"1164",4,"FFs30",73,0.0292,99
"1165",1,"FFs31",126975,50.79,99
"1166",2,"FFs31",99,0.0396,99
"1167",3,"FFs31",1,4e-04,99
"1168",4,"FFs31",12,0.0048,99
"1169",1,"FFs32",885782,354.3128,99
"1170",2,"FFs32",126416,50.5664,99
"1171",3,"FFs32",75,0.03,99
"1172",4,"FFs32",946,0.3784,99
"1173",5,"FFs32",356636,142.6544,99
"1174",7,"FFs32",17,0.0068,99
"1175",1,"FFs4",5581897,2232.7588,99
"1176",2,"FFs4",246376,98.5504,99
"1177",3,"FFs4",7116,2.8464,99
"1178",4,"FFs4",10297,4.1188,99
"1179",5,"FFs4",454608,181.8432,99
"1180",6,"FFs4",292,0.1168,99
"1181",7,"FFs4",8514,3.4056,99
"1182",1,"FFs5",2627644,1051.0576,99
"1183",2,"FFs5",102964,41.1856,99
"1184",3,"FFs5",11900,4.76,99
"1185",4,"FFs5",4923,1.9692,99
"1186",5,"FFs5",85535,34.214,99
"1187",6,"FFs5",253,0.1012,99
"1188",7,"FFs5",6746,2.6984,99
"1189",1,"FFs6",926765,370.706,99
"1190",2,"FFs6",45209,18.0836,99
"1191",3,"FFs6",1515,0.606,99
"1192",4,"FFs6",5793,2.3172,99
"1193",5,"FFs6",74384,29.7536,99
"1194",6,"FFs6",402,0.1608,99
"1195",7,"FFs6",3123,1.2492,99
"1196",1,"FFs7",927707,371.0828,99
"1197",2,"FFs7",13388,5.3552,99
"1198",3,"FFs7",4688,1.8752,99
"1199",4,"FFs7",1247,0.4988,99
"1200",5,"FFs7",36998,14.7992,99
"1201",6,"FFs7",40,0.016,99
"1202",7,"FFs7",1110,0.444,99
"1203",1,"FFs8",789334,315.7336,99
"1204",2,"FFs8",3256,1.3024,99
"1205",3,"FFs8",503,0.2012,99
"1206",4,"FFs8",1092,0.4368,99
"1207",5,"FFs8",4932,1.9728,99
"1208",6,"FFs8",56,0.0224,99
"1209",7,"FFs8",193,0.0772,99
"1210",1,"FFs9",508190,203.276,99
"1211",2,"FFs9",13379,5.3516,99
"1212",3,"FFs9",869,0.3476,99
"1213",4,"FFs9",18499,7.3996,99
"1214",5,"FFs9",374,0.1496,99
"1215",6,"FFs9",23,0.0092,99
"1216",7,"FFs9",7282,2.9128,99
"1217",1,"FFt1",989354,395.7416,99
"1218",2,"FFt1",9070,3.628,99
"1219",3,"FFt1",241,0.0964,99
"1220",4,"FFt1",522,0.2088,99
"1221",5,"FFt1",13131,5.2524,99
"1222",6,"FFt1",4,0.0016,99
"1223",7,"FFt1",64,0.0256,99
"1224",1,"FFt2",453927,181.5708,99
"1225",2,"FFt2",20753,8.3012,99
"1226",3,"FFt2",95,0.038,99
"1227",4,"FFt2",5709,2.2836,99
"1228",5,"FFt2",47285,18.914,99
"1229",6,"FFt2",58,0.0232,99
"1230",7,"FFt2",79,0.0316,99
"1231",1,"FOa1",333542,133.4168,99
"1232",2,"FOa1",26344,10.5376,99
"1233",3,"FOa1",1573,0.6292,99
"1234",4,"FOa1",550,0.22,99
"1235",5,"FOa1",79364,31.7456,99
"1236",7,"FOa1",20,0.008,99
"1237",1,"FOa2",182173,72.8692,99
"1238",2,"FOa2",52322,20.9288,99
"1239",3,"FOa2",192,0.0768,99
"1240",4,"FOa2",3478,1.3912,99
"1241",5,"FOa2",11009,4.4036,99
"1242",6,"FOa2",36,0.0144,99
"1243",7,"FOa2",2045,0.818,99
"1244",1,"FOa3",51251,20.5004,99
"1245",2,"FOa3",3169,1.2676,99
"1246",3,"FOa3",308,0.1232,99
"1247",4,"FOa3",4499,1.7996,99
"1248",5,"FOa3",66,0.0264,99
"1249",6,"FOa3",67,0.0268,99
"1250",7,"FOa3",3,0.0012,99
"1251",1,"FOz1",1580530,632.212,99
"1252",2,"FOz1",337820,135.128,99
"1253",3,"FOz1",202,0.0808,99
"1254",4,"FOz1",2879,1.1516,99
"1255",5,"FOz1",30674,12.2696,99
"1256",6,"FOz1",2,8e-04,99
"1257",7,"FOz1",18100,7.24,99
"1258",1,"FOz2",456052,182.4208,99
"1259",2,"FOz2",71817,28.7268,99
"1260",3,"FOz2",25,0.01,99
"1261",4,"FOz2",324,0.1296,99
"1262",5,"FOz2",115,0.046,99
"1263",6,"FOz2",1,4e-04,99
"1264",7,"FOz2",6849,2.7396,99
"1265",1,"FOz3",2022019,808.8076,99
"1266",2,"FOz3",378383,151.3532,99
"1267",3,"FOz3",57,0.0228,99
"1268",4,"FOz3",1077,0.4308,99
"1269",5,"FOz3",795,0.318,99
"1270",7,"FOz3",13153,5.2612,99
"1271",1,"FOz4",722276,288.9104,99
"1272",2,"FOz4",233847,93.5388,99
"1273",3,"FOz4",35,0.014,99
"1274",4,"FOz4",54,0.0216,99
"1275",5,"FOz4",1122,0.4488,99
"1276",7,"FOz4",16062,6.4248,99
"1277",1,"FOz5",2311731,924.6924,99
"1278",2,"FOz5",154258,61.7032,99
"1279",3,"FOz5",335,0.134,99
"1280",4,"FOz5",4705,1.882,99
"1281",5,"FOz5",33702,13.4808,99
"1282",6,"FOz5",334,0.1336,99
"1283",7,"FOz5",4186,1.6744,99
"1284",NA,"FOz5",58,0.0232,99
"1285",1,"FOz6",377322,150.9288,99
"1286",2,"FOz6",32643,13.0572,99
"1287",4,"FOz6",463,0.1852,99
"1288",5,"FOz6",52629,21.0516,99
"1289",7,"FOz6",29,0.0116,99
"1290",1,"FOz7",1250858,500.3432,99
"1291",2,"FOz7",300675,120.27,99
"1292",3,"FOz7",2028,0.8112,99
"1293",4,"FOz7",50524,20.2096,99
"1294",5,"FOz7",17841,7.1364,99
"1295",6,"FOz7",21364,8.5456,99
"1296",7,"FOz7",10582,4.2328,99
"1297",NA,"FOz7",173,0.0692,99
"1298",1,"FOz8",610613,244.2452,99
"1299",2,"FOz8",40308,16.1232,99
"1300",3,"FOz8",469,0.1876,99
"1301",4,"FOz8",5907,2.3628,99
"1302",5,"FOz8",6324,2.5296,99
"1303",7,"FOz8",107,0.0428,99
"1304",1,"FOz9",203151,81.2604,99
"1305",2,"FOz9",288,0.1152,99
"1306",3,"FOz9",5,0.002,99
"1307",4,"FOz9",1,4e-04,99
"1308",5,"FOz9",667,0.2668,99
"1309",1,"FRa1",436017,174.4068,99
"1310",2,"FRa1",203809,81.5236,99
"1311",3,"FRa1",19949,7.9796,99
"1312",4,"FRa1",74297,29.7188,99
"1313",5,"FRa1",506320,202.528,99
"1314",6,"FRa1",630,0.252,99
"1315",7,"FRa1",3168,1.2672,99
"1316",1,"FRa2",91333,36.5332,99
"1317",2,"FRa2",17234,6.8936,99
"1318",3,"FRa2",167,0.0668,99
"1319",4,"FRa2",3852,1.5408,99
"1320",5,"FRa2",44767,17.9068,99
"1321",7,"FRa2",327,0.1308,99
"1322",1,"FRc1",32005,12.802,99
"1323",2,"FRc1",32116,12.8464,99
"1324",3,"FRc1",665,0.266,99
"1325",4,"FRc1",5989,2.3956,99
"1326",5,"FRc1",179756,71.9024,99
"1327",6,"FRc1",535,0.214,99
"1328",7,"FRc1",1588,0.6352,99
"1329",1,"FRc2",71235,28.494,99
"1330",2,"FRc2",55568,22.2272,99
"1331",3,"FRc2",441,0.1764,99
"1332",4,"FRc2",6185,2.474,99
"1333",5,"FRc2",386193,154.4772,99
"1334",6,"FRc2",932,0.3728,99
"1335",7,"FRc2",3836,1.5344,99
"1336",1,"FRd1",493094,197.2376,99
"1337",2,"FRd1",26960,10.784,99
"1338",3,"FRd1",1643,0.6572,99
"1339",4,"FRd1",903,0.3612,99
"1340",5,"FRd1",25548,10.2192,99
"1341",6,"FRd1",46,0.0184,99
"1342",7,"FRd1",542,0.2168,99
"1343",1,"FRd2",1413314,565.3256,99
"1344",2,"FRd2",18304,7.3216,99
"1345",3,"FRd2",690,0.276,99
"1346",4,"FRd2",667,0.2668,99
"1347",5,"FRd2",14326,5.7304,99
"1348",6,"FRd2",14,0.0056,99
"1349",1,"FRg1",631970,252.788,99
"1350",2,"FRg1",46666,18.6664,99
"1351",3,"FRg1",106,0.0424,99
"1352",4,"FRg1",1529,0.6116,99
