"","LC","T_MAPCODE","niaps_arc","n","km2"
"143",2,"AT37",0,38352,15.3408
"144",3,"AT37",0,135,0.054
"145",4,"AT37",0,3777,1.5108
"146",5,"AT37",0,129705,51.882
"147",6,"AT37",0,177,0.0708
"148",7,"AT37",0,131,0.0524
"149",1,"AT38",0,1886127,754.4508
"150",2,"AT38",0,222370,88.948
"151",3,"AT38",0,1850,0.74
"152",4,"AT38",0,61486,24.5944
"153",5,"AT38",0,732125,292.85
"154",6,"AT38",0,2074,0.8296
"155",7,"AT38",0,30886,12.3544
"156",1,"AT39",0,514276,205.7104
"157",2,"AT39",0,23359,9.3436
"158",3,"AT39",0,84,0.0336
"159",4,"AT39",0,24822,9.9288
"160",5,"AT39",0,20368,8.1472
"161",6,"AT39",0,3283,1.3132
"162",1,"AT40",0,1103889,441.5556
"163",2,"AT40",0,114156,45.6624
"164",3,"AT40",0,291,0.1164
"165",4,"AT40",0,100662,40.2648
"166",5,"AT40",0,109359,43.7436
"167",6,"AT40",0,540,0.216
"168",7,"AT40",0,1289,0.5156
"169",1,"AT41",0,497715,199.086
"170",2,"AT41",0,43001,17.2004
"171",3,"AT41",0,251,0.1004
"172",4,"AT41",0,36211,14.4844
"173",5,"AT41",0,157999,63.1996
"174",6,"AT41",0,367,0.1468
"175",7,"AT41",0,6595,2.638
"176",1,"AT42",0,118434,47.3736
"177",2,"AT42",0,9286,3.7144
"178",3,"AT42",0,43,0.0172
"179",4,"AT42",0,1442,0.5768
"180",5,"AT42",0,7672,3.0688
"181",6,"AT42",0,14,0.0056
"182",7,"AT42",0,12,0.0048
"183",1,"AT43",0,662861,265.1444
"184",2,"AT43",0,21845,8.738
"185",3,"AT43",0,2098,0.8392
"186",4,"AT43",0,5739,2.2956
"187",5,"AT43",0,21014,8.4056
"188",6,"AT43",0,23,0.0092
"189",7,"AT43",0,95,0.038
"190",1,"AT44",0,141674,56.6696
"191",2,"AT44",0,48276,19.3104
"192",3,"AT44",0,251,0.1004
"193",4,"AT44",0,182338,72.9352
"194",5,"AT44",0,16380,6.552
"195",6,"AT44",0,934,0.3736
"196",7,"AT44",0,84,0.0336
"197",1,"AT45",0,975607,390.2428
"198",2,"AT45",0,188109,75.2436
"199",3,"AT45",0,923,0.3692
"200",4,"AT45",0,16878,6.7512
"201",5,"AT45",0,448281,179.3124
"202",6,"AT45",0,154,0.0616
"203",7,"AT45",0,1455,0.582
"204",1,"AT46",0,1379270,551.708
"205",2,"AT46",0,16102,6.4408
"206",3,"AT46",0,3385,1.354
"207",4,"AT46",0,10170,4.068
"208",5,"AT46",0,19240,7.696
"209",6,"AT46",0,433,0.1732
"210",7,"AT46",0,60,0.024
"211",1,"AT47",0,2173773,869.5092
"212",2,"AT47",0,22398,8.9592
"213",3,"AT47",0,2440,0.976
"214",4,"AT47",0,14572,5.8288
"215",5,"AT47",0,21175,8.47
"216",6,"AT47",0,185,0.074
"217",1,"AT48",0,25155,10.062
"218",2,"AT48",0,1651,0.6604
"219",3,"AT48",0,9,0.0036
"220",4,"AT48",0,14515,5.806
"221",5,"AT48",0,5142,2.0568
"222",1,"AT49",0,13446135,5378.454
"223",2,"AT49",0,102992,41.1968
"224",3,"AT49",0,54941,21.9764
"225",4,"AT49",0,57300,22.92
"226",5,"AT49",0,87814,35.1256
"227",6,"AT49",0,1073,0.4292
"228",7,"AT49",0,387,0.1548
"229",1,"AT50",0,1077894,431.1576
"230",2,"AT50",0,43925,17.57
"231",3,"AT50",0,1587,0.6348
"232",4,"AT50",0,44498,17.7992
"233",5,"AT50",0,61132,24.4528
"234",6,"AT50",0,241,0.0964
"235",7,"AT50",0,488,0.1952
"236",1,"AT51",0,3490944,1396.3776
"237",2,"AT51",0,97763,39.1052
"238",3,"AT51",0,7247,2.8988
"239",4,"AT51",0,180349,72.1396
"240",5,"AT51",0,369253,147.7012
"241",6,"AT51",0,5157,2.0628
"242",7,"AT51",0,5155,2.062
"243",1,"AT52",0,61922,24.7688
"244",2,"AT52",0,9070,3.628
"245",4,"AT52",0,63,0.0252
"246",5,"AT52",0,22785,9.114
"247",1,"AT53",0,35963,14.3852
"248",2,"AT53",0,4868,1.9472
"249",3,"AT53",0,21,0.0084
"250",4,"AT53",0,14533,5.8132
"251",5,"AT53",0,1442,0.5768
"252",7,"AT53",0,5119,2.0476
"253",1,"AT54",0,352708,141.0832
"254",2,"AT54",0,2334,0.9336
"255",3,"AT54",0,834,0.3336
"256",4,"AT54",0,90,0.036
"257",5,"AT54",0,3403,1.3612
"258",7,"AT54",0,10,0.004
"259",1,"AT55",0,1851738,740.6952
"260",2,"AT55",0,21564,8.6256
"261",3,"AT55",0,1286,0.5144
"262",4,"AT55",0,5072,2.0288
"263",5,"AT55",0,18225,7.29
"264",6,"AT55",0,244,0.0976
"265",7,"AT55",0,60,0.024
"266",1,"AT56",0,1044417,417.7668
"267",2,"AT56",0,154237,61.6948
"268",3,"AT56",0,1317,0.5268
"269",4,"AT56",0,162364,64.9456
"270",5,"AT56",0,229970,91.988
"271",6,"AT56",0,1980,0.792
"272",7,"AT56",0,21313,8.5252
"273",1,"AT57",0,205245,82.098
"274",2,"AT57",0,21750,8.7
"275",3,"AT57",0,6202,2.4808
"276",4,"AT57",0,29561,11.8244
"277",5,"AT57",0,18560,7.424
"278",6,"AT57",0,663,0.2652
"279",7,"AT57",0,333,0.1332
"280",1,"AT58",0,5546863,2218.7452
"281",2,"AT58",0,32183,12.8732
"282",3,"AT58",0,6413,2.5652
"283",4,"AT58",0,14061,5.6244
"284",5,"AT58",0,24525,9.81
"285",6,"AT58",0,204,0.0816
"286",7,"AT58",0,59,0.0236
"287",1,"AZa1",0,44244,17.6976
"288",2,"AZa1",0,664,0.2656
"289",3,"AZa1",0,2,8e-04
"290",4,"AZa1",0,83,0.0332
"291",5,"AZa1",0,173,0.0692
"292",7,"AZa1",0,103,0.0412
"293",1,"AZa2",0,187949,75.1796
"294",2,"AZa2",0,91959,36.7836
