"","LC","T_MAPCODE","niaps_arc","n","km2"
"2559",6,"SVcb8",0,49413,19.7652
"2560",7,"SVcb8",0,138369,55.3476
"2561",1,"SVcb9",0,6298794,2519.5176
"2562",2,"SVcb9",0,390455,156.182
"2563",3,"SVcb9",0,12939,5.1756
"2564",4,"SVcb9",0,322553,129.0212
"2565",5,"SVcb9",0,378838,151.5352
"2566",6,"SVcb9",0,12226,4.8904
"2567",7,"SVcb9",0,77248,30.8992
"2568",NA,"SVcb9",0,9746,3.8984
"2569",1,"SVk1",0,29940261,11976.1044
"2570",2,"SVk1",0,3019582,1207.8328
"2571",3,"SVk1",0,1613,0.6452
"2572",4,"SVk1",0,234071,93.6284
"2573",5,"SVk1",0,5289259,2115.7036
"2574",6,"SVk1",0,3854,1.5416
"2575",7,"SVk1",0,18129,7.2516
"2576",NA,"SVk1",0,34206,13.6824
"2577",1,"SVk10",0,13805508,5522.2032
"2578",2,"SVk10",0,287547,115.0188
"2579",3,"SVk10",0,1832,0.7328
"2580",4,"SVk10",0,126975,50.79
"2581",5,"SVk10",0,234809,93.9236
"2582",6,"SVk10",0,91258,36.5032
"2583",7,"SVk10",0,4594,1.8376
"2584",1,"SVk11",0,33953560,13581.424
"2585",2,"SVk11",0,458608,183.4432
"2586",3,"SVk11",0,1493,0.5972
"2587",4,"SVk11",0,141976,56.7904
"2588",5,"SVk11",0,59035,23.614
"2589",6,"SVk11",0,6622,2.6488
"2590",7,"SVk11",0,3209,1.2836
"2591",NA,"SVk11",0,126126,50.4504
"2592",1,"SVk12",0,18085056,7234.0224
"2593",2,"SVk12",0,188080,75.232
"2594",3,"SVk12",0,3297,1.3188
"2595",4,"SVk12",0,99677,39.8708
"2596",5,"SVk12",0,3901,1.5604
"2597",6,"SVk12",0,203370,81.348
"2598",7,"SVk12",0,228,0.0912
"2599",1,"SVk13",0,20718039,8287.2156
"2600",2,"SVk13",0,130184,52.0736
"2601",3,"SVk13",0,6213,2.4852
"2602",4,"SVk13",0,62228,24.8912
"2603",5,"SVk13",0,29122,11.6488
"2604",6,"SVk13",0,38190,15.276
"2605",7,"SVk13",0,447,0.1788
"2606",1,"SVk14",0,2176783,870.7132
"2607",2,"SVk14",0,44735,17.894
"2608",3,"SVk14",0,1308,0.5232
"2609",4,"SVk14",0,10252,4.1008
"2610",5,"SVk14",0,2865,1.146
"2611",6,"SVk14",0,61170,24.468
"2612",7,"SVk14",0,153,0.0612
"2613",1,"SVk15",0,4041333,1616.5332
"2614",2,"SVk15",0,5117,2.0468
"2615",3,"SVk15",0,453,0.1812
"2616",4,"SVk15",0,2604,1.0416
"2617",6,"SVk15",0,253,0.1012
"2618",1,"SVk16",0,19740580,7896.232
"2619",2,"SVk16",0,23159,9.2636
"2620",3,"SVk16",0,38,0.0152
"2621",4,"SVk16",0,8650,3.46
"2622",5,"SVk16",0,26,0.0104
"2623",6,"SVk16",0,173,0.0692
"2624",1,"SVk17",0,9200243,3680.0972
"2625",2,"SVk17",0,2033898,813.5592
"2626",3,"SVk17",0,44824,17.9296
"2627",4,"SVk17",0,1175204,470.0816
"2628",5,"SVk17",0,5395736,2158.2944
"2629",6,"SVk17",0,20590,8.236
"2630",7,"SVk17",0,17076,6.8304
"2631",NA,"SVk17",0,327520,131.008
"2632",1,"SVk18",0,2382623,953.0492
"2633",2,"SVk18",0,63334,25.3336
"2634",3,"SVk18",0,381,0.1524
"2635",4,"SVk18",0,27935,11.174
"2636",5,"SVk18",0,8411,3.3644
"2637",6,"SVk18",0,15832,6.3328
"2638",7,"SVk18",0,493,0.1972
"2639",1,"SVk2",0,8016333,3206.5332
"2640",2,"SVk2",0,860484,344.1936
"2641",3,"SVk2",0,15730,6.292
"2642",4,"SVk2",0,82858,33.1432
"2643",5,"SVk2",0,1423397,569.3588
"2644",6,"SVk2",0,27830,11.132
"2645",7,"SVk2",0,28437,11.3748
"2646",1,"SVk3",0,1436913,574.7652
"2647",2,"SVk3",0,468829,187.5316
"2648",3,"SVk3",0,4355,1.742
"2649",4,"SVk3",0,43619,17.4476
"2650",5,"SVk3",0,1443607,577.4428
"2651",6,"SVk3",0,7014,2.8056
"2652",7,"SVk3",0,8912,3.5648
"2653",1,"SVk4",0,31041045,12416.418
"2654",2,"SVk4",0,2047789,819.1156
"2655",3,"SVk4",0,73726,29.4904
"2656",4,"SVk4",0,474835,189.934
"2657",5,"SVk4",0,7655241,3062.0964
"2658",6,"SVk4",0,122017,48.8068
"2659",7,"SVk4",0,100952,40.3808
"2660",1,"SVk5",0,3541460,1416.584
"2661",2,"SVk5",0,41985,16.794
"2662",3,"SVk5",0,8040,3.216
"2663",4,"SVk5",0,7597,3.0388
"2664",5,"SVk5",0,30040,12.016
"2665",6,"SVk5",0,10129,4.0516
"2666",7,"SVk5",0,940,0.376
"2667",1,"SVk6",0,10461212,4184.4848
"2668",2,"SVk6",0,714344,285.7376
"2669",3,"SVk6",0,83875,33.55
"2670",4,"SVk6",0,317795,127.118
"2671",5,"SVk6",0,1540843,616.3372
"2672",6,"SVk6",0,38308,15.3232
"2673",7,"SVk6",0,26139,10.4556
"2674",1,"SVk7",0,32528259,13011.3036
"2675",2,"SVk7",0,240098,96.0392
"2676",3,"SVk7",0,36968,14.7872
"2677",4,"SVk7",0,173236,69.2944
"2678",5,"SVk7",0,103741,41.4964
"2679",6,"SVk7",0,43444,17.3776
"2680",7,"SVk7",0,17288,6.9152
"2681",1,"SVk8",0,8009911,3203.9644
"2682",2,"SVk8",0,163669,65.4676
"2683",3,"SVk8",0,11001,4.4004
"2684",4,"SVk8",0,82443,32.9772
"2685",5,"SVk8",0,50523,20.2092
"2686",6,"SVk8",0,2192,0.8768
"2687",7,"SVk8",0,8798,3.5192
"2688",1,"SVk9",0,13703697,5481.4788
"2689",2,"SVk9",0,176602,70.6408
"2690",3,"SVk9",0,3205,1.282
"2691",4,"SVk9",0,386272,154.5088
"2692",5,"SVk9",0,8987,3.5948
"2693",6,"SVk9",0,106899,42.7596
"2694",7,"SVk9",0,1779,0.7116
"2695",1,"SVkd1",0,92184388,36873.7552
"2696",2,"SVkd1",0,65637,26.2548
"2697",3,"SVkd1",0,4838,1.9352
"2698",4,"SVkd1",0,40460,16.184
"2699",5,"SVkd1",0,26496,10.5984
"2700",6,"SVkd1",0,16456,6.5824
"2701",7,"SVkd1",0,44,0.0176
"2702",1,"SVkd2",0,5594562,2237.8248
"2703",2,"SVkd2",0,4510,1.804
"2704",3,"SVkd2",0,40,0.016
"2705",4,"SVkd2",0,2572,1.0288
"2706",6,"SVkd2",0,27,0.0108
"2707",1,"SVkd3",0,7223819,2889.5276
"2708",2,"SVkd3",0,661,0.2644
"2709",3,"SVkd3",0,2,8e-04
"2710",4,"SVkd3",0,539,0.2156
"2711",1,"SVkd4",0,1905636,762.2544
"2712",2,"SVkd4",0,299,0.1196
"2713",4,"SVkd4",0,239,0.0956
"2714",NA,"SVkd4",0,21,0.0084
"2715",1,"SVl1",0,3948040,1579.216
"2716",2,"SVl1",0,639923,255.9692
"2717",3,"SVl1",0,7337,2.9348
"2718",4,"SVl1",0,406172,162.4688
"2719",5,"SVl1",0,220674,88.2696
"2720",6,"SVl1",0,2869,1.1476
"2721",7,"SVl1",0,1596,0.6384
"2722",1,"SVl10",0,1528198,611.2792
"2723",2,"SVl10",0,329300,131.72
"2724",3,"SVl10",0,2706,1.0824
"2725",4,"SVl10",0,310400,124.16
"2726",5,"SVl10",0,161698,64.6792
"2727",6,"SVl10",0,3024,1.2096
"2728",7,"SVl10",0,8313,3.3252
"2729",1,"SVl11",0,1486735,594.694
"2730",2,"SVl11",0,17856,7.1424
"2731",3,"SVl11",0,358,0.1432
"2732",4,"SVl11",0,62423,24.9692
"2733",5,"SVl11",0,4370,1.748
"2734",6,"SVl11",0,29,0.0116
"2735",7,"SVl11",0,3,0.0012
"2736",1,"SVl12",0,896586,358.6344
"2737",2,"SVl12",0,91261,36.5044
"2738",3,"SVl12",0,1652,0.6608
"2739",4,"SVl12",0,22679,9.0716
"2740",5,"SVl12",0,78999,31.5996
"2741",6,"SVl12",0,3374,1.3496
"2742",7,"SVl12",0,46286,18.5144
"2743",1,"SVl13",0,173111,69.2444
"2744",2,"SVl13",0,20034,8.0136
"2745",3,"SVl13",0,390,0.156
"2746",4,"SVl13",0,1702,0.6808
"2747",5,"SVl13",0,23221,9.2884
"2748",6,"SVl13",0,998,0.3992
"2749",7,"SVl13",0,44295,17.718
"2750",1,"SVl14",0,8393903,3357.5612
"2751",2,"SVl14",0,370093,148.0372
"2752",3,"SVl14",0,63853,25.5412
"2753",4,"SVl14",0,249894,99.9576
"2754",5,"SVl14",0,1878026,751.2104
"2755",6,"SVl14",0,266,0.1064
"2756",7,"SVl14",0,23327,9.3308
"2757",1,"SVl15",0,3359340,1343.736
"2758",2,"SVl15",0,1943,0.7772
"2759",3,"SVl15",0,1826,0.7304
"2760",4,"SVl15",0,1347,0.5388
"2761",6,"SVl15",0,64,0.0256
"2762",NA,"SVl15",0,7426,2.9704
"2763",1,"SVl16",0,5250381,2100.1524
"2764",2,"SVl16",0,247803,99.1212
"2765",3,"SVl16",0,18081,7.2324
"2766",4,"SVl16",0,282555,113.022
"2767",5,"SVl16",0,268641,107.4564
"2768",6,"SVl16",0,16,0.0064
"2769",NA,"SVl16",0,2723,1.0892
"2770",1,"SVl17",0,92291,36.9164
"2771",2,"SVl17",0,40096,16.0384
"2772",3,"SVl17",0,202,0.0808
"2773",4,"SVl17",0,138288,55.3152
"2774",5,"SVl17",0,48546,19.4184
"2775",7,"SVl17",0,14,0.0056
"2776",NA,"SVl17",0,260,0.104
"2777",1,"SVl18",0,2116771,846.7084
"2778",2,"SVl18",0,203239,81.2956
"2779",3,"SVl18",0,3692,1.4768
"2780",4,"SVl18",0,294179,117.6716
"2781",5,"SVl18",0,104181,41.6724
"2782",6,"SVl18",0,49,0.0196
"2783",7,"SVl18",0,37676,15.0704
"2784",1,"SVl19",0,200934,80.3736
"2785",2,"SVl19",0,21332,8.5328
"2786",3,"SVl19",0,503,0.2012
"2787",4,"SVl19",0,143812,57.5248
"2788",5,"SVl19",0,14600,5.84
"2789",6,"SVl19",0,117,0.0468
"2790",1,"SVl2",0,459571,183.8284
"2791",2,"SVl2",0,52,0.0208
"2792",3,"SVl2",0,4,0.0016
"2793",6,"SVl2",0,7,0.0028
"2794",NA,"SVl2",0,1523,0.6092
"2795",1,"SVl20",0,1498748,599.4992
"2796",2,"SVl20",0,706321,282.5284
"2797",3,"SVl20",0,281098,112.4392
"2798",4,"SVl20",0,576511,230.6044
"2799",5,"SVl20",0,859428,343.7712
"2800",6,"SVl20",0,2526,1.0104
"2801",7,"SVl20",0,30705,12.282
"2802",1,"SVl21",0,642253,256.9012
"2803",2,"SVl21",0,59030,23.612
"2804",3,"SVl21",0,2550,1.02
"2805",4,"SVl21",0,55277,22.1108
"2806",5,"SVl21",0,45355,18.142
"2807",6,"SVl21",0,1,4e-04
"2808",7,"SVl21",0,58,0.0232
"2809",NA,"SVl21",0,6,0.0024
"2810",1,"SVl22",0,8457059,3382.8236
"2811",2,"SVl22",0,1301833,520.7332
"2812",3,"SVl22",0,5069,2.0276
"2813",4,"SVl22",0,959133,383.6532
"2814",5,"SVl22",0,1101202,440.4808
"2815",6,"SVl22",0,55,0.022
"2816",7,"SVl22",0,218805,87.522
"2817",1,"SVl23",0,13268971,5307.5884
"2818",2,"SVl23",0,2515659,1006.2636
"2819",3,"SVl23",0,59829,23.9316
"2820",4,"SVl23",0,1485334,594.1336
"2821",5,"SVl23",0,2842544,1137.0176
"2822",6,"SVl23",0,27376,10.9504
"2823",7,"SVl23",0,7366,2.9464
"2824",1,"SVl24",0,399739,159.8956
"2825",2,"SVl24",0,386485,154.594
"2826",3,"SVl24",0,3133,1.2532
"2827",4,"SVl24",0,457766,183.1064
"2828",5,"SVl24",0,388220,155.288
"2829",6,"SVl24",0,126,0.0504
"2830",7,"SVl24",0,15244,6.0976
"2831",1,"SVl25",0,1003969,401.5876
"2832",2,"SVl25",0,153322,61.3288
"2833",3,"SVl25",0,1302,0.5208
"2834",4,"SVl25",0,231278,92.5112
"2835",5,"SVl25",0,45955,18.382
"2836",6,"SVl25",0,28,0.0112
"2837",7,"SVl25",0,21336,8.5344
"2838",1,"SVl26",0,1202579,481.0316
"2839",2,"SVl26",0,101119,40.4476
"2840",3,"SVl26",0,26,0.0104
"2841",4,"SVl26",0,229384,91.7536
"2842",5,"SVl26",0,36795,14.718
"2843",6,"SVl26",0,59,0.0236
"2844",7,"SVl26",0,108421,43.3684
"2845",1,"SVl27",0,1064132,425.6528
"2846",2,"SVl27",0,94995,37.998
"2847",3,"SVl27",0,1244,0.4976
"2848",4,"SVl27",0,122791,49.1164
"2849",5,"SVl27",0,48827,19.5308
"2850",6,"SVl27",0,200,0.08
"2851",7,"SVl27",0,13081,5.2324
"2852",1,"SVl3",0,37114486,14845.7944
"2853",2,"SVl3",0,3907682,1563.0728
"2854",3,"SVl3",0,226970,90.788
"2855",4,"SVl3",0,3062233,1224.8932
"2856",5,"SVl3",0,5120328,2048.1312
"2857",6,"SVl3",0,22361,8.9444
"2858",7,"SVl3",0,19016,7.6064
"2859",1,"SVl4",0,4911839,1964.7356
"2860",2,"SVl4",0,98515,39.406
"2861",3,"SVl4",0,44597,17.8388
"2862",4,"SVl4",0,24034,9.6136
"2863",5,"SVl4",0,1703603,681.4412
"2864",6,"SVl4",0,64,0.0256
"2865",7,"SVl4",0,1507,0.6028
"2866",1,"SVl5",0,7429362,2971.7448
"2867",2,"SVl5",0,191815,76.726
"2868",3,"SVl5",0,13456,5.3824
"2869",4,"SVl5",0,95492,38.1968
"2870",5,"SVl5",0,1175720,470.288
"2871",6,"SVl5",0,298,0.1192
"2872",7,"SVl5",0,2141,0.8564
"2873",NA,"SVl5",0,1116,0.4464
"2874",1,"SVl6",0,1894254,757.7016
"2875",2,"SVl6",0,3129,1.2516
"2876",3,"SVl6",0,388,0.1552
"2877",4,"SVl6",0,2643,1.0572
"2878",5,"SVl6",0,176,0.0704
"2879",6,"SVl6",0,27,0.0108
"2880",1,"SVl7",0,715480,286.192
"2881",2,"SVl7",0,47709,19.0836
"2882",3,"SVl7",0,63,0.0252
"2883",4,"SVl7",0,37139,14.8556
"2884",5,"SVl7",0,7281,2.9124
"2885",6,"SVl7",0,370,0.148
"2886",7,"SVl7",0,512,0.2048
"2887",1,"SVl8",0,4269967,1707.9868
"2888",2,"SVl8",0,1229218,491.6872
"2889",3,"SVl8",0,53187,21.2748
"2890",4,"SVl8",0,885148,354.0592
"2891",5,"SVl8",0,1266315,506.526
"2892",6,"SVl8",0,2540,1.016
"2893",7,"SVl8",0,659402,263.7608
"2894",1,"SVl9",0,2463034,985.2136
"2895",2,"SVl9",0,1296511,518.6044
"2896",3,"SVl9",0,55375,22.15
"2897",4,"SVl9",0,763216,305.2864
"2898",5,"SVl9",0,941058,376.4232
"2899",6,"SVl9",0,4742,1.8968
"2900",7,"SVl9",0,2729074,1091.6296
"2901",1,"SVmp1",0,20326882,8130.7528
"2902",2,"SVmp1",0,525814,210.3256
"2903",3,"SVmp1",0,18018,7.2072
"2904",4,"SVmp1",0,164615,65.846
"2905",5,"SVmp1",0,915487,366.1948
"2906",6,"SVmp1",0,28782,11.5128
"2907",7,"SVmp1",0,6965,2.786
"2908",NA,"SVmp1",0,1,4e-04
"2909",1,"SVmp2",0,6794677,2717.8708
"2910",2,"SVmp2",0,64401,25.7604
"2911",3,"SVmp2",0,4760,1.904
"2912",4,"SVmp2",0,5470,2.188
"2913",5,"SVmp2",0,71533,28.6132
"2914",6,"SVmp2",0,21549,8.6196
"2915",7,"SVmp2",0,861,0.3444
"2916",NA,"SVmp2",0,408,0.1632
"2917",1,"SVmp3",0,692195,276.878
"2918",2,"SVmp3",0,327,0.1308
"2919",3,"SVmp3",0,104,0.0416
"2920",6,"SVmp3",0,22,0.0088
"2921",1,"SVmp4",0,7000536,2800.2144
"2922",2,"SVmp4",0,8746,3.4984
"2923",3,"SVmp4",0,1453,0.5812
"2924",4,"SVmp4",0,335,0.134
"2925",5,"SVmp4",0,1973,0.7892
"2926",6,"SVmp4",0,403,0.1612
"2927",NA,"SVmp4",0,1546,0.6184
"2928",1,"SVmp5",0,11805207,4722.0828
"2929",2,"SVmp5",0,742508,297.0032
"2930",3,"SVmp5",0,12340,4.936
"2931",4,"SVmp5",0,233050,93.22
"2932",5,"SVmp5",0,497798,199.1192
"2933",6,"SVmp5",0,228,0.0912
"2934",7,"SVmp5",0,1570,0.628
"2935",NA,"SVmp5",0,5,0.002
"2936",1,"SVmp6",0,6078671,2431.4684
"2937",2,"SVmp6",0,934682,373.8728
"2938",3,"SVmp6",0,16349,6.5396
"2939",4,"SVmp6",0,328898,131.5592
"2940",5,"SVmp6",0,510750,204.3
"2941",6,"SVmp6",0,15403,6.1612
"2942",7,"SVmp6",0,528,0.2112
"2943",1,"SVmp7",0,5069048,2027.6192
"2944",2,"SVmp7",0,135460,54.184
"2945",3,"SVmp7",0,10399,4.1596
"2946",4,"SVmp7",0,208931,83.5724
"2947",5,"SVmp7",0,71958,28.7832
"2948",6,"SVmp7",0,67542,27.0168
"2949",7,"SVmp7",0,525,0.21
"2950",1,"SVmp8",0,775709,310.2836
"2951",2,"SVmp8",0,293,0.1172
"2952",3,"SVmp8",0,51,0.0204
"2953",4,"SVmp8",0,6,0.0024
"2954",6,"SVmp8",0,36,0.0144
"2955",1,"SVs1",0,4784530,1913.812
"2956",2,"SVs1",0,895642,358.2568
"2957",3,"SVs1",0,2418,0.9672
"2958",4,"SVs1",0,500680,200.272
"2959",5,"SVs1",0,406025,162.41
"2960",6,"SVs1",0,2034,0.8136
"2961",7,"SVs1",0,576,0.2304
"2962",1,"SVs2",0,3835702,1534.2808
"2963",2,"SVs2",0,724620,289.848
"2964",3,"SVs2",0,6986,2.7944
"2965",4,"SVs2",0,449341,179.7364
"2966",5,"SVs2",0,245279,98.1116
"2967",6,"SVs2",0,2239,0.8956
"2968",7,"SVs2",0,11768,4.7072
"2969",1,"SVs3",0,2108699,843.4796
"2970",2,"SVs3",0,457116,182.8464
"2971",3,"SVs3",0,7792,3.1168
"2972",4,"SVs3",0,453037,181.2148
"2973",5,"SVs3",0,283156,113.2624
"2974",6,"SVs3",0,1186,0.4744
"2975",7,"SVs3",0,32381,12.9524
"2976",1,"SVs4",0,757708,303.0832
"2977",2,"SVs4",0,283532,113.4128
"2978",3,"SVs4",0,817,0.3268
"2979",4,"SVs4",0,467746,187.0984
"2980",5,"SVs4",0,401143,160.4572
"2981",6,"SVs4",0,351,0.1404
"2982",7,"SVs4",0,15771,6.3084
"2983",1,"SVs5",0,491546,196.6184
"2984",2,"SVs5",0,343669,137.4676
"2985",3,"SVs5",0,7717,3.0868
"2986",4,"SVs5",0,829729,331.8916
"2987",5,"SVs5",0,1513102,605.2408
"2988",6,"SVs5",0,664,0.2656
"2989",7,"SVs5",0,1090822,436.3288
"2990",1,"SVs6",0,15091083,6036.4332
"2991",2,"SVs6",0,3416968,1366.7872
"2992",3,"SVs6",0,141393,56.5572
"2993",4,"SVs6",0,1907616,763.0464
"2994",5,"SVs6",0,1770423,708.1692
"2995",6,"SVs6",0,3043,1.2172
"2996",7,"SVs6",0,55111,22.0444
"2997",1,"SVs7",0,10337847,4135.1388
"2998",2,"SVs7",0,2138048,855.2192
"2999",3,"SVs7",0,27928,11.1712
"3000",4,"SVs7",0,2212183,884.8732
"3001",5,"SVs7",0,2541674,1016.6696
"3002",6,"SVs7",0,7184,2.8736
"3003",7,"SVs7",0,162789,65.1156
"3004",1,"SVs8",0,1867856,747.1424
"3005",2,"SVs8",0,395315,158.126
"3006",3,"SVs8",0,3887,1.5548
"3007",4,"SVs8",0,393805,157.522
"3008",5,"SVs8",0,816383,326.5532
"3009",6,"SVs8",0,3379,1.3516
"3010",7,"SVs8",0,32986,13.1944
"3011",1,"AT15",1,787,0.3148
"3012",1,"AT16",1,1924,0.7696
"3013",2,"AT16",1,14,0.0056
"3014",1,"AT17",1,84211,33.6844
"3015",2,"AT17",1,5499,2.1996
"3016",3,"AT17",1,2,8e-04
"3017",4,"AT17",1,5,0.002
"3018",5,"AT17",1,40,0.016
"3019",7,"AT17",1,1,4e-04
"3020",1,"AT18",1,99859,39.9436
"3021",2,"AT18",1,4210,1.684
"3022",3,"AT18",1,12,0.0048
"3023",4,"AT18",1,59,0.0236
"3024",5,"AT18",1,51,0.0204
"3025",1,"AT19",1,52914,21.1656
"3026",2,"AT19",1,26,0.0104
"3027",3,"AT19",1,1,4e-04
"3028",4,"AT19",1,17,0.0068
"3029",5,"AT19",1,3,0.0012
"3030",1,"AT21",1,47416,18.9664
"3031",2,"AT21",1,1948,0.7792
"3032",3,"AT21",1,15,0.006
"3033",4,"AT21",1,99,0.0396
"3034",5,"AT21",1,80,0.032
"3035",1,"AT22",1,2535,1.014
"3036",2,"AT22",1,622,0.2488
"3037",4,"AT22",1,24,0.0096
"3038",5,"AT22",1,65,0.026
"3039",1,"AT23",1,29849,11.9396
"3040",2,"AT23",1,2223,0.8892
"3041",3,"AT23",1,4,0.0016
"3042",4,"AT23",1,12,0.0048
"3043",5,"AT23",1,8,0.0032
"3044",1,"AT24",1,232630,93.052
"3045",2,"AT24",1,8473,3.3892
"3046",3,"AT24",1,67,0.0268
"3047",4,"AT24",1,73,0.0292
"3048",5,"AT24",1,23,0.0092
"3049",7,"AT24",1,10,0.004
"3050",1,"AT25",1,173291,69.3164
"3051",2,"AT25",1,759,0.3036
"3052",3,"AT25",1,39,0.0156
"3053",4,"AT25",1,81,0.0324
"3054",1,"AT26",1,1353,0.5412
"3055",2,"AT26",1,4,0.0016
"3056",4,"AT26",1,1,4e-04
"3057",5,"AT26",1,8,0.0032
"3058",1,"AT27",1,42831,17.1324
"3059",2,"AT27",1,64,0.0256
"3060",3,"AT27",1,3,0.0012
"3061",4,"AT27",1,17,0.0068
"3062",6,"AT27",1,11,0.0044
"3063",1,"AT28",1,98142,39.2568
"3064",2,"AT28",1,15017,6.0068
"3065",3,"AT28",1,33,0.0132
"3066",4,"AT28",1,44,0.0176
"3067",5,"AT28",1,146,0.0584
"3068",7,"AT28",1,550,0.22
"3069",1,"AT29",1,17038,6.8152
"3070",2,"AT29",1,21,0.0084
"3071",1,"AT30",1,37474,14.9896
"3072",2,"AT30",1,295,0.118
"3073",4,"AT30",1,8,0.0032
"3074",5,"AT30",1,26,0.0104
"3075",1,"AT31",1,21280,8.512
"3076",2,"AT31",1,1995,0.798
"3077",4,"AT31",1,2,8e-04
"3078",5,"AT31",1,40,0.016
"3079",1,"AT32",1,339539,135.8156
"3080",2,"AT32",1,3473,1.3892
"3081",3,"AT32",1,197,0.0788
"3082",4,"AT32",1,80,0.032
"3083",5,"AT32",1,93,0.0372
"3084",7,"AT32",1,188,0.0752
"3085",1,"AT33",1,5314,2.1256
"3086",2,"AT33",1,410,0.164
"3087",3,"AT33",1,4,0.0016
"3088",4,"AT33",1,3,0.0012
"3089",7,"AT33",1,6,0.0024
"3090",1,"AT35",1,1025,0.41
"3091",2,"AT35",1,201,0.0804
"3092",4,"AT35",1,3,0.0012
"3093",1,"AT36",1,527,0.2108
"3094",2,"AT36",1,3,0.0012
"3095",4,"AT36",1,2,8e-04
"3096",7,"AT36",1,5,0.002
"3097",1,"AT37",1,4666,1.8664
"3098",2,"AT37",1,729,0.2916
"3099",4,"AT37",1,14,0.0056
"3100",5,"AT37",1,29,0.0116
"3101",1,"AT38",1,64392,25.7568
"3102",2,"AT38",1,7274,2.9096
"3103",3,"AT38",1,27,0.0108
"3104",4,"AT38",1,59,0.0236
"3105",5,"AT38",1,36,0.0144
"3106",7,"AT38",1,860,0.344
"3107",1,"AT39",1,4906,1.9624
"3108",2,"AT39",1,51,0.0204
"3109",1,"AT40",1,21921,8.7684
"3110",2,"AT40",1,3385,1.354
"3111",3,"AT40",1,4,0.0016
"3112",4,"AT40",1,847,0.3388
"3113",5,"AT40",1,80,0.032
"3114",6,"AT40",1,2,8e-04
"3115",7,"AT40",1,63,0.0252
"3116",1,"AT41",1,9467,3.7868
"3117",2,"AT41",1,177,0.0708
"3118",4,"AT41",1,20,0.008
"3119",5,"AT41",1,19,0.0076
"3120",7,"AT41",1,139,0.0556
"3121",1,"AT42",1,1283,0.5132
"3122",2,"AT42",1,297,0.1188
"3123",3,"AT42",1,22,0.0088
"3124",4,"AT42",1,8,0.0032
"3125",5,"AT42",1,686,0.2744
"3126",1,"AT43",1,492,0.1968
"3127",2,"AT43",1,39,0.0156
"3128",1,"AT44",1,4805,1.922
"3129",2,"AT44",1,492,0.1968
"3130",3,"AT44",1,1,4e-04
"3131",4,"AT44",1,34,0.0136
"3132",5,"AT44",1,1,4e-04
"3133",1,"AT45",1,46354,18.5416
"3134",2,"AT45",1,4929,1.9716
"3135",3,"AT45",1,10,0.004
"3136",4,"AT45",1,9,0.0036
"3137",5,"AT45",1,29,0.0116
"3138",7,"AT45",1,88,0.0352
"3139",1,"AT46",1,135,0.054
"3140",2,"AT46",1,9,0.0036
"3141",3,"AT46",1,10,0.004
"3142",1,"AT47",1,16753,6.7012
"3143",2,"AT47",1,89,0.0356
"3144",3,"AT47",1,30,0.012
"3145",4,"AT47",1,2,8e-04
"3146",1,"AT49",1,210025,84.01
"3147",2,"AT49",1,2236,0.8944
"3148",3,"AT49",1,67,0.0268
"3149",4,"AT49",1,255,0.102
"3150",5,"AT49",1,42,0.0168
"3151",1,"AT50",1,69034,27.6136
"3152",2,"AT50",1,492,0.1968
"3153",4,"AT50",1,6,0.0024
"3154",5,"AT50",1,13,0.0052
"3155",7,"AT50",1,32,0.0128
"3156",1,"AT51",1,169611,67.8444
"3157",2,"AT51",1,1900,0.76
"3158",3,"AT51",1,31,0.0124
"3159",4,"AT51",1,91,0.0364
"3160",5,"AT51",1,181,0.0724
"3161",6,"AT51",1,2,8e-04
"3162",7,"AT51",1,426,0.1704
"3163",1,"AT52",1,2552,1.0208
"3164",2,"AT52",1,34,0.0136
"3165",1,"AT53",1,2691,1.0764
"3166",2,"AT53",1,36,0.0144
"3167",5,"AT53",1,1,4e-04
"3168",1,"AT54",1,29652,11.8608
"3169",2,"AT54",1,34,0.0136
"3170",5,"AT54",1,17,0.0068
"3171",1,"AT55",1,1401,0.5604
"3172",2,"AT55",1,398,0.1592
"3173",4,"AT55",1,2,8e-04
"3174",5,"AT55",1,6,0.0024
"3175",1,"AT56",1,14377,5.7508
"3176",2,"AT56",1,791,0.3164
"3177",3,"AT56",1,2,8e-04
"3178",4,"AT56",1,45,0.018
"3179",5,"AT56",1,13,0.0052
"3180",7,"AT56",1,479,0.1916
"3181",1,"AT57",1,4852,1.9408
"3182",2,"AT57",1,343,0.1372
"3183",1,"AT58",1,3000,1.2
"3184",2,"AT58",1,37,0.0148
"3185",3,"AT58",1,3,0.0012
"3186",4,"AT58",1,1,4e-04
"3187",1,"AZa1",1,500,0.2
"3188",2,"AZa1",1,2,8e-04
"3189",1,"AZa2",1,12799,5.1196
"3190",2,"AZa2",1,2546,1.0184
"3191",3,"AZa2",1,31,0.0124
"3192",4,"AZa2",1,122,0.0488
"3193",5,"AZa2",1,790,0.316
"3194",6,"AZa2",1,3,0.0012
"3195",7,"AZa2",1,686,0.2744
"3196",1,"AZa3",1,108091,43.2364
"3197",2,"AZa3",1,9307,3.7228
"3198",3,"AZa3",1,6348,2.5392
"3199",4,"AZa3",1,596,0.2384
"3200",5,"AZa3",1,2093,0.8372
"3201",6,"AZa3",1,13,0.0052
"3202",7,"AZa3",1,16,0.0064
"3203",1,"AZa4",1,35615,14.246
"3204",2,"AZa4",1,3564,1.4256
"3205",3,"AZa4",1,109,0.0436
