"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"444","SVl3",14869.088,1574.4756,91.1176,1225.1032,2049.0268,8.9444,8.3508,13.052,19839.1584,14882.14,0,48356.32851,319,"LC","LC","LC","LC"
"445","SVl4",1966.7916,43.8924,17.8792,9.6504,681.8948,0.0256,0.6484,1.262,2722.0444,1968.0536,0,7834.873993,62,"LC","LC","LC","LC"
"446","SVl5",2975.0684,79.8916,5.4928,38.2076,470.3472,0.1192,0.8684,0.3008,3570.296,2975.3692,0,7717.28972,69,"LC","LC","LC","LC"
"447","SVl6",757.66,1.2516,0.1552,1.0572,0.0704,0.0108,0,0.0416,760.2468,757.7016,0,5300.610784,32,"LC","LC","LC","LC"
"448","SVl7",282.2684,19.094,0.0252,14.8556,2.9124,0.148,0.2052,3.9448,323.4536,286.2132,1,6210.888853,35,"LC","LC","LC","LC"
"449","SVl8",1709.2428,499.974,21.3396,354.12,506.8596,1.0176,267.8992,39.1128,3399.5656,1748.3556,2,9479.190325,68,"LC","LC","LC","LC"
"450","SVl9",1021.3484,613.3504,22.3416,306.0348,377.4112,1.8992,1125.8224,94.2652,3562.4732,1115.6136,8,8700.793382,66,"LC","LC","LC","LC"
"451","SVmp1",8132.7156,210.704,7.2076,65.8512,366.2176,11.5128,2.7936,0.3064,8797.3088,8133.022,0,13632.69887,137,"LC","LC","LC","LC"
"452","SVmp2",2718.026,25.8288,1.904,2.1896,28.6152,8.6196,0.3444,0.2132,2785.7408,2718.2392,0,16194.61039,108,"LC","LC","LC","LC"
"453","SVmp3",276.8356,0.1308,0.0416,0,0,0.0088,0,0.0424,277.0592,276.878,0,821.9491823,11,"LC","LC","LC","LC"
"454","SVmp4",2800.2144,3.4984,0.5812,0.134,0.7892,0.1612,0,0,2805.3784,2800.2144,0,4734.15714,56,"LC","LC","LC","LC"
"455","SVmp5",4722.0828,297.0032,4.936,93.22,199.1192,0.0912,0.628,0,5317.0804,4722.0828,0,12575.59988,105,"LC","LC","LC","LC"
"456","SVmp6",2431.4684,373.8728,6.5396,131.5592,204.3,6.1612,0.2112,0,3154.1124,2431.4684,0,7578.342642,58,"LC","LC","LC","LC"
"457","SVmp7",2027.626,54.184,4.1596,83.574,28.7832,27.0168,0.21,0,2225.5536,2027.626,0,4433.501829,46,"LC","LC","LC","LC"
"458","SVmp8",310.2836,0.1172,0.0204,0.0024,0,0.0144,0,0,310.438,310.2836,0,2389.550753,25,"LC","LC","LC","LC"
"459","SVs1",1964.9156,369.226,0.9868,200.3416,162.5988,0.8136,0.3416,7.3684,2706.5924,1972.284,0,5121.834748,56,"LC","LC","LC","LC"
"460","SVs2",1607.9876,296.6252,2.8632,179.8804,98.1692,0.898,5.4152,23.7624,2215.6012,1631.75,1,8207.216277,73,"LC","LC","LC","LC"
"461","SVs3",948.6996,205.9224,3.2324,181.6504,113.8696,0.4744,14.0596,65.5964,1533.5048,1014.296,6,9073.263412,55,"LC","LC","LC","LC"
"462","SVs4",309.506,118.2264,0.3372,187.3376,160.6444,0.1404,10.5124,16.3992,803.1036,325.9052,5,4283.35206,25,"LC","LC","LC","LC"
"463","SVs5",220.4164,165.7024,3.112,332.3448,606.4232,0.2712,454.4136,29.9172,1812.6008,250.3336,12,7395.012058,55,"LC","LC","LC","LC"
"464","SVs6",6611.0128,1587.1588,57.366,764.4256,709.8172,1.2208,27.9204,426.5628,10185.4844,7037.5756,6,64156.40512,297,"LC","LC","LC","LC"
"465","SVs7",4440.2484,953.1172,11.8048,887.7004,1019.3916,2.8884,104.5584,342.5676,7762.2768,4782.816,7,32535.59538,194,"LC","LC","LC","LC"
"466","SVs8",811.0276,168.6356,1.6312,158.1528,326.9736,1.3552,22.3344,37.6548,1527.7652,848.6824,4,11358.69763,57,"LC","LC","LC","LC"
