"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"343","SKr9",3.2652,0,0,0,0,0,0,0,3.2652,3.2652,0,4.207755122,1,"LC","LC","LC","LC"
"344","SKs1",311.0076,15.8712,0.198,3.3724,0,177.572,0,0,508.0212,311.0076,0,1304.176772,20,"LC","LC","LC","LC"
"345","SKs10",133.9984,2.1276,0,0.3028,0,0,0,0,136.4288,133.9984,0,243.9409375,4,"LC","LC","LC","LC"
"346","SKs11",286.6852,0.1152,0,0.1548,0,0.024,0,0,286.9792,286.6852,0,7954.436558,19,"LC","LC","LC","LC"
"347","SKs12",423.5092,30.5684,0.0192,1.7792,13.7116,0.1464,0.18,0.0148,469.9288,423.524,0,2447.645116,19,"LC","LC","LC","LC"
"348","SKs13",106.7764,22.8636,0.2644,2.464,66.8332,0.078,0.4756,1.3744,201.1296,108.1508,1,853.5021802,12,"LC","LC","LC","LC"
"349","SKs14",643.816,41.4676,0.1036,3.9812,144.188,5.1304,0.0604,0.1984,838.9456,644.0144,0,6694.115852,47,"LC","LC","LC","LC"
"350","SKs2",524.9028,2.216,0,1.0592,0,7.9224,0,0,536.1004,524.9028,0,821.4148715,14,"LC","LC","LC","LC"
"351","SKs3",302.72,4.1596,0,0.0028,0,24.5176,0,0,331.4,302.72,0,685.0390796,11,"LC","LC","LC","LC"
"352","SKs4",441.4408,1.6332,0,0.2672,0,5.7028,0,0,449.044,441.4408,0,1236.36826,19,"LC","LC","LC","LC"
"353","SKs5",565.6908,0.0196,0,0.0848,0,0.3144,0,0,566.1096,565.6908,0,993.2934924,15,"LC","LC","LC","LC"
"354","SKs6",122.7916,0.0632,0,0.244,0,0.2032,0,0,123.302,122.7916,0,213.9441,5,"LC","LC","LC","LC"
"355","SKs7",2539.5816,219.4792,1.2548,12.3708,338.6232,39.308,0.746,0.4296,3151.7932,2540.0112,0,13857.28478,94,"LC","LC","LC","LC"
"356","SKs8",727.288,25.4496,0.3788,3.2456,0.0028,111.6664,0,0,868.0312,727.288,0,2567.075683,32,"LC","LC","LC","LC"
"357","SKs9",884.5824,18.1984,0.172,1.3408,5.1312,7.806,0.0008,0.1608,917.3924,884.7432,0,6931.679021,48,"LC","LC","LC","LC"
"358","SKt1",101.3284,0.0864,0,0.346,0,0.0184,0,0,101.7792,101.3284,0,877.0713217,7,"LC","LC","LC","LC"
"359","SKt2",7308.8684,147.9216,3.9088,24.6484,140.8076,1.4348,0.7352,4.2292,7632.554,7313.0976,0,11398.74606,120,"LC","LC","LC","LC"
"360","SKt3",5217.6908,64.3328,10.1648,12.0992,47.3572,0.758,0.5668,5.0264,5357.996,5222.7172,0,12514.79069,99,"LC","LC","LC","LC"
"361","SKv1",446.6128,39.304,0.7272,1.394,50.972,0.1116,0.2488,1.3696,540.74,447.9824,0,4077.196544,25,"LC","LC","LC","LC"
"362","SKv10",226.2012,6.2244,0.2888,1.7636,5.5616,0.0144,0.0076,0.0644,240.126,226.2656,0,4419.677244,28,"LC","LC","LC","LC"
"363","SKv11",1367.92,66.4828,5.01,27.2376,108.6168,1.7032,0.354,1.246,1578.5704,1369.166,0,4790.322234,51,"LC","LC","LC","LC"
"364","SKv13",2512.5996,16.432,6.6752,7.862,10.1468,0.0952,0.0816,1.3684,2555.2608,2513.968,0,5523.533369,59,"LC","LC","LC","LC"
"365","SKv14",769.1764,11.0984,1.4768,6.7568,4.5032,0.204,0.0216,0.0684,793.3056,769.2448,0,3468.004991,39,"LC","LC","LC","LC"
"366","SKv2",557.1484,1.7084,0.2148,0.068,0.2232,0.022,0,0.0016,559.3864,557.15,0,1752.891124,23,"LC","LC","LC","LC"
"367","SKv3",902.4948,12.1904,0.1728,0.6828,12.4728,0.0032,0.06,0.4956,928.5724,902.9904,0,3069.11865,32,"LC","LC","LC","LC"
"368","SKv4",1313.5804,3.5484,0.1,0.7264,0.4044,0.002,0.0068,0,1318.3684,1313.5804,0,5580.268908,45,"LC","LC","LC","LC"
"369","SKv5",6919.632,31.4724,1.6076,9.6788,20.7164,0.9384,0.0716,4.1892,6988.3064,6923.8212,0,13660.2922,125,"LC","LC","LC","LC"
"370","SKv6",4674.4992,19.0248,2.134,9.0232,8.5052,0.7724,0.1644,0.366,4714.4892,4674.8652,0,9123.828544,85,"LC","LC","LC","LC"
"371","SKv7",494.3032,43.302,4.746,21.2148,86.7404,0.3876,0.7124,1.9488,653.3552,496.252,0,2838.393063,26,"LC","LC","LC","LC"
"372","SKv8",3928.9004,70.1688,4.9184,14.9612,86.0792,0.6576,0.4468,2.8924,4109.0248,3931.7928,0,10270.17349,93,"LC","LC","LC","LC"
"373","SVcb1",5108.8792,661.012,14.0152,40.2936,783.5532,41.752,1.9516,0,6651.4568,5108.8792,0,18754.42525,173,"LC","LC","LC","LC"
"374","SVcb10",897.3464,158.91,2.4796,100.9424,178.4088,15.916,65.8288,22.3168,1442.1488,919.6632,2,15533.94288,59,"LC","LC","LC","LC"
"375","SVcb11",2477.8436,216.6908,16.7488,171.44,343.4412,4.85,38.8268,15.7952,3285.6364,2493.6388,1,43221.30243,143,"LC","LC","LC","LC"
"376","SVcb12",10836.298,2117.1008,113.628,1612.2548,2600.1708,21.292,56.7608,26.5868,17384.092,10862.8848,0,41978.26708,319,"LC","LC","LC","LC"
